Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
optimism-ethereum,OP,"Feb 17, 2025",$1.1167,$1.2033,$1.1081,$1.2018,"$228,273,166","$1,959,890,478"
optimism-ethereum,OP,"Feb 16, 2025",$1.1285,$1.1480,$1.1014,$1.1167,"$102,951,020","$1,509,515,863"
optimism-ethereum,OP,"Feb 15, 2025",$1.1566,$1.1631,$1.1165,$1.1285,"$112,600,795","$1,525,443,826"
optimism-ethereum,OP,"Feb 14, 2025",$1.1235,$1.1956,$1.1132,$1.1566,"$183,733,854","$1,563,348,415"
optimism-ethereum,OP,"Feb 13, 2025",$1.1216,$1.1605,$1.0899,$1.1235,"$175,846,220","$1,518,702,683"
optimism-ethereum,OP,"Feb 12, 2025",$1.0703,$1.1506,$1.0349,$1.1216,"$198,554,893","$1,516,080,284"
optimism-ethereum,OP,"Feb 11, 2025",$1.0963,$1.1402,$1.0534,$1.0703,"$162,003,782","$1,446,762,774"
optimism-ethereum,OP,"Feb 10, 2025",$1.0816,$1.1130,$1.0404,$1.0963,"$171,222,627","$1,481,840,141"
optimism-ethereum,OP,"Feb 09, 2025",$1.0643,$1.0880,$1.0203,$1.0816,"$125,752,183","$1,462,000,470"
optimism-ethereum,OP,"Feb 08, 2025",$1.0182,$1.0701,$1.0013,$1.0643,"$127,941,595","$1,438,632,229"
optimism-ethereum,OP,"Feb 07, 2025",$1.0380,$1.1123,$0.9866,$1.0182,"$185,060,322","$1,376,351,555"
optimism-ethereum,OP,"Feb 06, 2025",$1.0886,$1.1302,$1.0292,$1.0380,"$175,348,987","$1,403,054,105"
optimism-ethereum,OP,"Feb 05, 2025",$1.1150,$1.1414,$1.0764,$1.0886,"$195,730,448","$1,471,487,444"
optimism-ethereum,OP,"Feb 04, 2025",$1.1873,$1.1915,$1.0463,$1.1150,"$408,983,433","$1,507,219,450"
optimism-ethereum,OP,"Feb 03, 2025",$1.1138,$1.2097,$0.8396,$1.1873,"$903,588,682","$1,604,959,749"
optimism-ethereum,OP,"Feb 02, 2025",$1.3387,$1.3670,$1.0678,$1.1136,"$351,128,555","$1,505,262,455"
optimism-ethereum,OP,"Feb 01, 2025",$1.4257,$1.4573,$1.3295,$1.3387,"$162,456,288","$1,809,526,201"
optimism-ethereum,OP,"Jan 31, 2025",$1.4545,$1.4991,$1.3809,$1.4257,"$271,201,609","$1,927,151,154"
optimism-ethereum,OP,"Jan 30, 2025",$1.4354,$1.5017,$1.4228,$1.4545,"$155,708,635","$1,966,034,068"
optimism-ethereum,OP,"Jan 29, 2025",$1.3736,$1.4933,$1.3706,$1.4354,"$201,564,151","$1,940,306,937"
optimism-ethereum,OP,"Jan 28, 2025",$1.4541,$1.4758,$1.3597,$1.3736,"$147,829,491","$1,856,711,642"
optimism-ethereum,OP,"Jan 27, 2025",$1.5645,$1.5647,$1.3268,$1.4541,"$375,492,942","$1,965,584,272"
optimism-ethereum,OP,"Jan 26, 2025",$1.6324,$1.6739,$1.5642,$1.5645,"$142,902,232","$2,114,736,149"
optimism-ethereum,OP,"Jan 25, 2025",$1.7177,$1.7182,$1.6322,$1.6323,"$146,975,164","$2,206,519,614"
optimism-ethereum,OP,"Jan 24, 2025",$1.7233,$1.8105,$1.6869,$1.7176,"$213,544,816","$2,321,763,330"
optimism-ethereum,OP,"Jan 23, 2025",$1.7116,$1.7341,$1.6603,$1.7234,"$216,437,131","$2,329,451,215"
optimism-ethereum,OP,"Jan 22, 2025",$1.7472,$1.7684,$1.7090,$1.7118,"$163,480,178","$2,313,586,369"
optimism-ethereum,OP,"Jan 21, 2025",$1.7044,$1.7840,$1.6249,$1.7472,"$267,372,222","$2,361,743,460"
optimism-ethereum,OP,"Jan 20, 2025",$1.7022,$1.8465,$1.6280,$1.7044,"$641,614,997","$2,303,917,777"
optimism-ethereum,OP,"Jan 19, 2025",$1.8271,$1.9117,$1.6948,$1.7022,"$553,294,260","$2,300,961,563"
optimism-ethereum,OP,"Jan 18, 2025",$1.9649,$1.9962,$1.7806,$1.8271,"$246,389,911","$2,469,701,537"
optimism-ethereum,OP,"Jan 17, 2025",$1.8378,$1.9899,$1.8374,$1.9649,"$216,274,001","$2,655,940,149"
optimism-ethereum,OP,"Jan 16, 2025",$1.8996,$1.9118,$1.8242,$1.8378,"$219,971,488","$2,484,186,674"
optimism-ethereum,OP,"Jan 15, 2025",$1.7872,$1.9006,$1.7432,$1.8996,"$199,402,524","$2,567,728,890"
optimism-ethereum,OP,"Jan 14, 2025",$1.7268,$1.7980,$1.7184,$1.7872,"$151,899,273","$2,415,856,756"
optimism-ethereum,OP,"Jan 13, 2025",$1.7820,$1.8237,$1.5946,$1.7268,"$278,331,052","$2,334,215,841"
optimism-ethereum,OP,"Jan 12, 2025",$1.7910,$1.8128,$1.7608,$1.7820,"$125,394,022","$2,408,827,910"
optimism-ethereum,OP,"Jan 11, 2025",$1.7898,$1.8215,$1.7647,$1.7910,"$138,187,487","$2,420,906,400"
optimism-ethereum,OP,"Jan 10, 2025",$1.7499,$1.8247,$1.7310,$1.7898,"$236,597,386","$2,419,279,958"
optimism-ethereum,OP,"Jan 09, 2025",$1.8046,$1.8368,$1.7127,$1.7499,"$275,231,892","$2,365,316,277"
optimism-ethereum,OP,"Jan 08, 2025",$1.8924,$1.9224,$1.7188,$1.8046,"$308,249,555","$2,439,343,035"
optimism-ethereum,OP,"Jan 07, 2025",$2.1084,$2.1261,$1.8859,$1.8924,"$307,788,178","$2,558,044,743"
optimism-ethereum,OP,"Jan 06, 2025",$2.0943,$2.1805,$2.0637,$2.1084,"$293,117,209","$2,849,923,137"
optimism-ethereum,OP,"Jan 05, 2025",$2.0639,$2.1135,$2.0305,$2.0943,"$237,503,156","$2,830,905,723"
optimism-ethereum,OP,"Jan 04, 2025",$2.0124,$2.1122,$1.9859,$2.0639,"$296,561,191","$2,789,762,807"
optimism-ethereum,OP,"Jan 03, 2025",$1.8763,$2.0213,$1.8369,$2.0124,"$302,759,601","$2,720,235,226"
optimism-ethereum,OP,"Jan 02, 2025",$1.8146,$1.8898,$1.8127,$1.8763,"$246,334,827","$2,536,291,279"
optimism-ethereum,OP,"Jan 01, 2025",$1.7517,$1.8346,$1.7345,$1.8146,"$187,005,992","$2,452,856,645"
optimism-ethereum,OP,"Dec 31, 2024",$1.8227,$1.8732,$1.7385,$1.7517,"$229,566,598","$2,367,867,762"
optimism-ethereum,OP,"Dec 30, 2024",$1.8090,$1.9130,$1.7668,$1.8227,"$350,099,161","$2,463,805,870"
optimism-ethereum,OP,"Dec 29, 2024",$1.8907,$1.8927,$1.7906,$1.8090,"$165,276,134","$2,445,201,344"
optimism-ethereum,OP,"Dec 28, 2024",$1.8522,$1.9036,$1.8195,$1.8907,"$196,427,860","$2,555,711,420"
optimism-ethereum,OP,"Dec 27, 2024",$1.7767,$1.9019,$1.7710,$1.8522,"$300,971,073","$2,503,610,132"
optimism-ethereum,OP,"Dec 26, 2024",$1.9168,$1.9305,$1.7573,$1.7767,"$250,963,167","$2,401,652,498"
optimism-ethereum,OP,"Dec 25, 2024",$1.9513,$1.9740,$1.8836,$1.9168,"$237,333,626","$2,590,996,100"
optimism-ethereum,OP,"Dec 24, 2024",$1.9219,$1.9758,$1.8656,$1.9513,"$326,426,883","$2,637,569,986"
optimism-ethereum,OP,"Dec 23, 2024",$1.7576,$1.9506,$1.7100,$1.9219,"$419,871,139","$2,597,861,486"
optimism-ethereum,OP,"Dec 22, 2024",$1.7439,$1.8203,$1.7098,$1.7576,"$302,201,881","$2,375,846,303"
optimism-ethereum,OP,"Dec 21, 2024",$1.8877,$2.0074,$1.7256,$1.7439,"$388,567,683","$2,357,312,125"
optimism-ethereum,OP,"Dec 20, 2024",$1.9127,$1.9852,$1.6188,$1.8877,"$728,430,539","$2,551,587,327"
optimism-ethereum,OP,"Dec 19, 2024",$2.1558,$2.1819,$1.8459,$1.9127,"$674,695,331","$2,585,456,939"
optimism-ethereum,OP,"Dec 18, 2024",$2.3353,$2.3819,$2.1529,$2.1558,"$542,458,207","$2,913,969,967"
optimism-ethereum,OP,"Dec 17, 2024",$2.5003,$2.5167,$2.3118,$2.3352,"$368,256,081","$3,156,512,693"
optimism-ethereum,OP,"Dec 16, 2024",$2.5375,$2.6256,$2.4691,$2.5003,"$475,418,126","$3,379,731,607"
optimism-ethereum,OP,"Dec 15, 2024",$2.4390,$2.5484,$2.4084,$2.5375,"$353,843,059","$3,184,748,118"
optimism-ethereum,OP,"Dec 14, 2024",$2.5671,$2.6524,$2.3783,$2.4390,"$418,406,755","$3,061,121,783"
optimism-ethereum,OP,"Dec 13, 2024",$2.5457,$2.6743,$2.4795,$2.5510,"$635,450,004","$3,201,696,693"
optimism-ethereum,OP,"Dec 12, 2024",$2.3368,$2.6728,$2.3224,$2.5457,"$711,125,557","$3,194,987,469"
optimism-ethereum,OP,"Dec 11, 2024",$2.2053,$2.3549,$2.1248,$2.3368,"$374,088,121","$2,932,824,848"
optimism-ethereum,OP,"Dec 10, 2024",$2.2482,$2.3057,$2.0430,$2.2053,"$674,934,615","$2,767,806,643"
optimism-ethereum,OP,"Dec 09, 2024",$2.6744,$2.6747,$2.0700,$2.2482,"$774,195,919","$2,821,619,968"
optimism-ethereum,OP,"Dec 08, 2024",$2.6899,$2.7063,$2.6015,$2.6768,"$296,739,821","$3,359,624,770"
optimism-ethereum,OP,"Dec 07, 2024",$2.6684,$2.7718,$2.6560,$2.6778,"$367,985,326","$3,360,849,184"
optimism-ethereum,OP,"Dec 06, 2024",$2.5000,$2.7293,$2.4756,$2.6684,"$754,515,611","$3,349,051,852"
optimism-ethereum,OP,"Dec 05, 2024",$2.5479,$2.6261,$2.4381,$2.4983,"$713,105,523","$3,135,538,373"
optimism-ethereum,OP,"Dec 04, 2024",$2.5588,$2.7382,$2.5118,$2.5479,"$884,122,985","$3,197,735,704"
optimism-ethereum,OP,"Dec 03, 2024",$2.5609,$2.5945,$2.3469,$2.5587,"$653,166,202","$3,211,440,358"
optimism-ethereum,OP,"Dec 02, 2024",$2.4656,$2.5702,$2.2955,$2.5608,"$658,045,648","$3,214,047,546"
optimism-ethereum,OP,"Dec 01, 2024",$2.4530,$2.5400,$2.3799,$2.4848,"$436,300,088","$3,118,584,470"
optimism-ethereum,OP,"Nov 30, 2024",$2.3828,$2.4953,$2.3506,$2.4530,"$442,871,784","$3,078,673,990"
optimism-ethereum,OP,"Nov 29, 2024",$2.3625,$2.4103,$2.3060,$2.3828,"$341,027,634","$2,990,626,283"
optimism-ethereum,OP,"Nov 28, 2024",$2.4983,$2.5999,$2.2925,$2.3625,"$607,709,204","$2,965,098,539"
optimism-ethereum,OP,"Nov 27, 2024",$2.2031,$2.5000,$2.1621,$2.4983,"$655,289,447","$3,135,584,041"
optimism-ethereum,OP,"Nov 26, 2024",$2.3041,$2.3558,$2.1136,$2.2031,"$640,555,309","$2,765,107,704"
optimism-ethereum,OP,"Nov 25, 2024",$2.2001,$2.4139,$2.1139,$2.3041,"$941,738,545","$2,891,851,492"
optimism-ethereum,OP,"Nov 24, 2024",$2.2066,$2.3360,$2.0557,$2.2001,"$654,154,321","$2,761,499,540"
optimism-ethereum,OP,"Nov 23, 2024",$2.2031,$2.3328,$2.1658,$2.2066,"$851,433,156","$2,769,421,724"
optimism-ethereum,OP,"Nov 22, 2024",$2.0852,$2.3362,$2.0144,$2.2031,"$998,760,177","$2,765,037,719"
optimism-ethereum,OP,"Nov 21, 2024",$1.6489,$2.2023,$1.6065,$2.0850,"$1,103,355,382","$2,616,794,770"
optimism-ethereum,OP,"Nov 20, 2024",$1.7620,$1.8020,$1.6277,$1.6489,"$356,358,022","$2,069,518,665"
optimism-ethereum,OP,"Nov 19, 2024",$1.8278,$1.8434,$1.6945,$1.7620,"$313,055,998","$2,211,381,525"
optimism-ethereum,OP,"Nov 18, 2024",$1.6766,$1.8425,$1.6689,$1.8277,"$461,623,107","$2,293,846,541"
optimism-ethereum,OP,"Nov 17, 2024",$1.7757,$1.8145,$1.6516,$1.6766,"$451,556,821","$2,104,201,647"
optimism-ethereum,OP,"Nov 16, 2024",$1.5830,$1.8135,$1.5731,$1.7757,"$429,767,420","$2,228,684,808"
optimism-ethereum,OP,"Nov 15, 2024",$1.5094,$1.5981,$1.4809,$1.5936,"$325,643,905","$2,000,070,584"
optimism-ethereum,OP,"Nov 14, 2024",$1.6196,$1.7033,$1.4909,$1.5094,"$446,153,179","$1,894,364,668"
optimism-ethereum,OP,"Nov 13, 2024",$1.6721,$1.6951,$1.5044,$1.6196,"$611,931,198","$2,032,717,625"
optimism-ethereum,OP,"Nov 12, 2024",$1.8183,$1.8575,$1.5876,$1.6721,"$754,684,271","$2,098,621,574"
optimism-ethereum,OP,"Nov 11, 2024",$1.6442,$1.8184,$1.6124,$1.8183,"$657,354,089","$2,282,049,045"
optimism-ethereum,OP,"Nov 10, 2024",$1.6497,$1.7276,$1.5586,$1.6442,"$571,156,824","$2,063,582,407"
optimism-ethereum,OP,"Nov 09, 2024",$1.5789,$1.6789,$1.5620,$1.6497,"$272,900,521","$2,070,506,547"
optimism-ethereum,OP,"Nov 08, 2024",$1.6018,$1.6332,$1.5220,$1.5769,"$230,815,072","$1,979,113,556"
optimism-ethereum,OP,"Nov 07, 2024",$1.6008,$1.6947,$1.5491,$1.5923,"$268,926,715","$1,998,549,969"
optimism-ethereum,OP,"Nov 06, 2024",$1.4159,$1.6328,$1.4157,$1.6320,"$287,059,603","$2,048,281,216"
optimism-ethereum,OP,"Nov 05, 2024",$1.3411,$1.4447,$1.3411,$1.4159,"$150,803,592","$1,777,071,214"
optimism-ethereum,OP,"Nov 04, 2024",$1.4329,$1.4359,$1.3010,$1.3411,"$172,230,912","$1,683,170,058"
optimism-ethereum,OP,"Nov 03, 2024",$1.4555,$1.4687,$1.3537,$1.4370,"$167,577,551","$1,803,536,325"
optimism-ethereum,OP,"Nov 02, 2024",$1.5207,$1.5321,$1.4281,$1.4555,"$154,435,993","$1,826,760,417"
optimism-ethereum,OP,"Nov 01, 2024",$1.6102,$1.6448,$1.5097,$1.5207,"$161,060,494","$1,908,537,795"
optimism-ethereum,OP,"Oct 31, 2024",$1.7193,$1.7259,$1.6005,$1.6102,"$141,648,225","$2,020,858,886"
optimism-ethereum,OP,"Oct 30, 2024",$1.7010,$1.7919,$1.6771,$1.7193,"$170,442,705","$2,157,876,703"
optimism-ethereum,OP,"Oct 29, 2024",$1.6173,$1.7290,$1.6156,$1.7010,"$159,496,247","$2,134,891,153"
optimism-ethereum,OP,"Oct 28, 2024",$1.5923,$1.6343,$1.5397,$1.6173,"$161,285,848","$2,029,799,281"
optimism-ethereum,OP,"Oct 27, 2024",$1.5629,$1.6068,$1.5572,$1.5923,"$87,836,434","$1,998,466,535"
optimism-ethereum,OP,"Oct 26, 2024",$1.5626,$1.5960,$1.5402,$1.5629,"$133,058,463","$1,961,602,264"
optimism-ethereum,OP,"Oct 25, 2024",$1.7069,$1.7370,$1.5172,$1.5624,"$196,975,945","$1,961,199,603"
optimism-ethereum,OP,"Oct 24, 2024",$1.7224,$1.7507,$1.6712,$1.7080,"$133,443,941","$2,143,624,593"
optimism-ethereum,OP,"Oct 23, 2024",$1.6982,$1.7331,$1.6590,$1.7115,"$153,432,969","$2,148,086,321"
optimism-ethereum,OP,"Oct 22, 2024",$1.7174,$1.7464,$1.6777,$1.6982,"$126,051,823","$2,131,351,881"
optimism-ethereum,OP,"Oct 21, 2024",$1.8079,$1.8296,$1.7031,$1.7174,"$137,276,790","$2,155,472,628"
optimism-ethereum,OP,"Oct 20, 2024",$1.6934,$1.8078,$1.6699,$1.8069,"$129,146,149","$2,267,840,751"
optimism-ethereum,OP,"Oct 19, 2024",$1.7184,$1.7350,$1.6777,$1.6934,"$77,365,176","$2,125,295,138"
optimism-ethereum,OP,"Oct 18, 2024",$1.6718,$1.7341,$1.6602,$1.7184,"$112,596,588","$2,156,705,365"
optimism-ethereum,OP,"Oct 17, 2024",$1.7488,$1.7588,$1.6590,$1.6718,"$126,391,163","$2,098,172,785"
optimism-ethereum,OP,"Oct 16, 2024",$1.7319,$1.7963,$1.7039,$1.7488,"$161,207,861","$2,194,814,822"
optimism-ethereum,OP,"Oct 15, 2024",$1.7782,$1.8105,$1.6939,$1.7319,"$177,001,388","$2,173,717,743"
optimism-ethereum,OP,"Oct 14, 2024",$1.7066,$1.8006,$1.6904,$1.7782,"$152,185,204","$2,231,761,583"
optimism-ethereum,OP,"Oct 13, 2024",$1.7157,$1.7179,$1.6554,$1.7066,"$106,297,488","$2,141,901,657"
optimism-ethereum,OP,"Oct 12, 2024",$1.6920,$1.7525,$1.6920,$1.7157,"$111,718,794","$2,153,273,177"
optimism-ethereum,OP,"Oct 11, 2024",$1.5525,$1.7146,$1.5472,$1.6920,"$161,663,763","$2,123,568,062"
optimism-ethereum,OP,"Oct 10, 2024",$1.5318,$1.5558,$1.4855,$1.5525,"$140,991,500","$1,948,524,831"
optimism-ethereum,OP,"Oct 09, 2024",$1.6335,$1.6635,$1.5193,$1.5295,"$150,918,198","$1,919,653,908"
optimism-ethereum,OP,"Oct 08, 2024",$1.6607,$1.7002,$1.5940,$1.6345,"$142,682,179","$2,051,442,636"
optimism-ethereum,OP,"Oct 07, 2024",$1.6809,$1.7290,$1.6402,$1.6607,"$157,206,395","$2,084,326,176"
optimism-ethereum,OP,"Oct 06, 2024",$1.5950,$1.6818,$1.5795,$1.6809,"$94,585,558","$2,109,683,207"
optimism-ethereum,OP,"Oct 05, 2024",$1.6053,$1.6448,$1.5726,$1.5950,"$98,322,236","$2,001,801,757"
optimism-ethereum,OP,"Oct 04, 2024",$1.5187,$1.6218,$1.5136,$1.6053,"$138,604,572","$2,014,783,931"
optimism-ethereum,OP,"Oct 03, 2024",$1.5868,$1.6167,$1.4775,$1.5187,"$176,204,254","$1,906,066,015"
optimism-ethereum,OP,"Oct 02, 2024",$1.6650,$1.7070,$1.5747,$1.5868,"$177,035,111","$1,991,552,206"
optimism-ethereum,OP,"Oct 01, 2024",$1.7517,$1.8753,$1.6163,$1.6650,"$219,993,410","$2,089,732,610"
optimism-ethereum,OP,"Sep 30, 2024",$1.9006,$1.9189,$1.7413,$1.7517,"$169,085,672","$2,198,538,800"
optimism-ethereum,OP,"Sep 29, 2024",$1.8805,$1.9192,$1.8376,$1.9007,"$119,448,367","$2,385,448,228"
optimism-ethereum,OP,"Sep 28, 2024",$1.9015,$1.9209,$1.8349,$1.8805,"$101,895,330","$2,360,199,246"
optimism-ethereum,OP,"Sep 27, 2024",$1.7488,$1.9358,$1.7475,$1.9015,"$198,063,239","$2,386,499,177"
optimism-ethereum,OP,"Sep 26, 2024",$1.6835,$1.7786,$1.6621,$1.7488,"$146,361,966","$2,076,863,635"
optimism-ethereum,OP,"Sep 25, 2024",$1.7345,$1.7633,$1.6791,$1.6835,"$127,808,752","$1,999,315,516"
optimism-ethereum,OP,"Sep 24, 2024",$1.6984,$1.7472,$1.6470,$1.7345,"$147,023,525","$2,059,865,285"
optimism-ethereum,OP,"Sep 23, 2024",$1.6928,$1.7697,$1.6683,$1.6984,"$133,127,207","$2,017,007,198"
optimism-ethereum,OP,"Sep 22, 2024",$1.7683,$1.8054,$1.6536,$1.6928,"$122,659,056","$2,010,396,550"
optimism-ethereum,OP,"Sep 21, 2024",$1.6757,$1.7686,$1.6329,$1.7683,"$132,022,336","$2,099,973,237"
optimism-ethereum,OP,"Sep 20, 2024",$1.6074,$1.6921,$1.5806,$1.6756,"$152,786,957","$1,990,029,651"
optimism-ethereum,OP,"Sep 19, 2024",$1.5087,$1.6500,$1.5087,$1.6074,"$143,362,229","$1,908,916,536"
optimism-ethereum,OP,"Sep 18, 2024",$1.4516,$1.5087,$1.4112,$1.5087,"$117,669,857","$1,791,730,194"
optimism-ethereum,OP,"Sep 17, 2024",$1.4525,$1.5044,$1.4390,$1.4516,"$123,241,527","$1,723,962,031"
optimism-ethereum,OP,"Sep 16, 2024",$1.4753,$1.5010,$1.4349,$1.4525,"$110,239,294","$1,724,960,624"
optimism-ethereum,OP,"Sep 15, 2024",$1.5664,$1.5876,$1.4719,$1.4752,"$90,914,771","$1,752,020,239"
optimism-ethereum,OP,"Sep 14, 2024",$1.5503,$1.5726,$1.5310,$1.5664,"$88,854,490","$1,860,250,080"
optimism-ethereum,OP,"Sep 13, 2024",$1.5373,$1.5622,$1.5044,$1.5503,"$109,910,542","$1,841,076,704"
optimism-ethereum,OP,"Sep 12, 2024",$1.5476,$1.5715,$1.5126,$1.5373,"$121,834,262","$1,825,689,416"
optimism-ethereum,OP,"Sep 11, 2024",$1.6127,$1.6147,$1.5364,$1.5476,"$134,095,500","$1,837,962,290"
optimism-ethereum,OP,"Sep 10, 2024",$1.5305,$1.6263,$1.5234,$1.6127,"$137,408,306","$1,915,218,315"
optimism-ethereum,OP,"Sep 09, 2024",$1.4183,$1.5419,$1.4183,$1.5305,"$124,202,146","$1,817,588,811"
optimism-ethereum,OP,"Sep 08, 2024",$1.4162,$1.4709,$1.3954,$1.4183,"$118,678,929","$1,684,398,076"
optimism-ethereum,OP,"Sep 07, 2024",$1.3372,$1.4335,$1.3363,$1.4162,"$115,446,539","$1,681,888,760"
optimism-ethereum,OP,"Sep 06, 2024",$1.3560,$1.3789,$1.2959,$1.3372,"$174,722,332","$1,588,084,119"
optimism-ethereum,OP,"Sep 05, 2024",$1.3477,$1.3627,$1.3294,$1.3560,"$111,415,159","$1,610,352,288"
optimism-ethereum,OP,"Sep 04, 2024",$1.3482,$1.3789,$1.2878,$1.3477,"$132,123,148","$1,600,524,532"
optimism-ethereum,OP,"Sep 03, 2024",$1.4086,$1.4357,$1.3445,$1.3482,"$96,959,764","$1,601,147,051"
optimism-ethereum,OP,"Sep 02, 2024",$1.3577,$1.4216,$1.3411,$1.4086,"$117,092,873","$1,672,859,231"
optimism-ethereum,OP,"Sep 01, 2024",$1.4184,$1.4211,$1.3509,$1.3577,"$101,797,323","$1,612,395,305"
optimism-ethereum,OP,"Aug 31, 2024",$1.4703,$1.4788,$1.4158,$1.4184,"$79,868,619","$1,684,480,732"
optimism-ethereum,OP,"Aug 30, 2024",$1.4259,$1.4746,$1.3723,$1.4703,"$137,976,701","$1,746,074,874"
optimism-ethereum,OP,"Aug 29, 2024",$1.4274,$1.4915,$1.4059,$1.4259,"$145,836,485","$1,693,381,260"
optimism-ethereum,OP,"Aug 28, 2024",$1.3742,$1.4368,$1.3644,$1.4274,"$183,492,510","$1,695,165,586"
optimism-ethereum,OP,"Aug 27, 2024",$1.4878,$1.5149,$1.3586,$1.3742,"$166,870,523","$1,632,033,191"
optimism-ethereum,OP,"Aug 26, 2024",$1.5497,$1.5648,$1.4753,$1.4878,"$131,687,500","$1,766,937,024"
optimism-ethereum,OP,"Aug 25, 2024",$1.6037,$1.6054,$1.5269,$1.5497,"$131,343,511","$1,840,389,768"
optimism-ethereum,OP,"Aug 24, 2024",$1.6131,$1.6424,$1.5828,$1.6037,"$138,222,087","$1,904,501,235"
optimism-ethereum,OP,"Aug 23, 2024",$1.5107,$1.6375,$1.5053,$1.6131,"$174,427,484","$1,915,700,530"
optimism-ethereum,OP,"Aug 22, 2024",$1.4455,$1.5156,$1.4230,$1.5107,"$129,391,420","$1,794,051,991"
optimism-ethereum,OP,"Aug 21, 2024",$1.3525,$1.4495,$1.3459,$1.4455,"$129,874,105","$1,716,672,433"
optimism-ethereum,OP,"Aug 20, 2024",$1.3696,$1.4014,$1.3239,$1.3545,"$131,902,278","$1,608,643,190"
optimism-ethereum,OP,"Aug 19, 2024",$1.3355,$1.3838,$1.3052,$1.3665,"$165,293,502","$1,622,892,212"
optimism-ethereum,OP,"Aug 18, 2024",$1.3402,$1.3734,$1.3200,$1.3355,"$128,081,830","$1,586,028,157"
optimism-ethereum,OP,"Aug 17, 2024",$1.2820,$1.3402,$1.2621,$1.3402,"$134,497,544","$1,591,583,076"
optimism-ethereum,OP,"Aug 16, 2024",$1.2512,$1.2979,$1.2389,$1.2820,"$145,274,945","$1,522,440,061"
optimism-ethereum,OP,"Aug 15, 2024",$1.3284,$1.3406,$1.2297,$1.2512,"$161,499,079","$1,485,881,137"
optimism-ethereum,OP,"Aug 14, 2024",$1.3662,$1.3914,$1.3126,$1.3284,"$142,517,690","$1,577,612,191"
optimism-ethereum,OP,"Aug 13, 2024",$1.3801,$1.3826,$1.3179,$1.3662,"$138,302,111","$1,622,526,586"
optimism-ethereum,OP,"Aug 12, 2024",$1.3097,$1.4273,$1.2940,$1.3801,"$196,236,227","$1,638,945,136"
optimism-ethereum,OP,"Aug 11, 2024",$1.4279,$1.4787,$1.3042,$1.3097,"$143,086,630","$1,555,357,302"
optimism-ethereum,OP,"Aug 10, 2024",$1.4098,$1.4532,$1.3865,$1.4279,"$111,088,421","$1,695,779,147"
optimism-ethereum,OP,"Aug 09, 2024",$1.4213,$1.4403,$1.3653,$1.4098,"$148,465,887","$1,674,258,979"
optimism-ethereum,OP,"Aug 08, 2024",$1.1962,$1.4218,$1.1831,$1.4213,"$178,833,737","$1,687,986,734"
optimism-ethereum,OP,"Aug 07, 2024",$1.2740,$1.3201,$1.1850,$1.1962,"$162,888,858","$1,420,614,687"
optimism-ethereum,OP,"Aug 06, 2024",$1.1720,$1.3247,$1.1710,$1.2740,"$238,339,936","$1,512,973,196"
optimism-ethereum,OP,"Aug 05, 2024",$1.3292,$1.3349,$1.0702,$1.1720,"$474,941,172","$1,391,863,477"
optimism-ethereum,OP,"Aug 04, 2024",$1.4237,$1.4438,$1.2963,$1.3292,"$167,953,263","$1,578,560,610"
