Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
AIOZ Network,AIOZ,"Feb 18, 2025",$0.4256,$0.4898,$0.3823,$0.4215,"$52,719,276","$488,084,719"
AIOZ Network,AIOZ,"Feb 17, 2025",$0.4222,$0.4474,$0.4209,$0.4256,"$17,190,580","$492,656,637"
AIOZ Network,AIOZ,"Feb 16, 2025",$0.4276,$0.4365,$0.4216,$0.4222,"$11,108,222","$488,696,051"
AIOZ Network,AIOZ,"Feb 15, 2025",$0.4691,$0.4703,$0.4266,$0.4276,"$16,664,404","$494,870,508"
AIOZ Network,AIOZ,"Feb 14, 2025",$0.4352,$0.4746,$0.4307,$0.469,"$28,906,205","$542,702,409"
AIOZ Network,AIOZ,"Feb 13, 2025",$0.4637,$0.4679,$0.4198,$0.4351,"$33,247,334","$503,376,038"
AIOZ Network,AIOZ,"Feb 12, 2025",$0.4744,$0.4744,$0.4,$0.4637,"$61,671,575","$536,333,045"
AIOZ Network,AIOZ,"Feb 11, 2025",$0.3954,$0.5706,$0.3954,$0.4744,"$88,725,074","$548,530,823"
AIOZ Network,AIOZ,"Feb 10, 2025",$0.4012,$0.416,$0.3891,$0.3954,"$17,906,019","$457,138,442"
AIOZ Network,AIOZ,"Feb 09, 2025",$0.4157,$0.4252,$0.3878,$0.4012,"$17,538,088","$463,776,632"
AIOZ Network,AIOZ,"Feb 08, 2025",$0.4173,$0.4248,$0.4019,$0.4158,"$17,674,607","$480,477,146"
AIOZ Network,AIOZ,"Feb 07, 2025",$0.4336,$0.47,$0.4132,$0.4173,"$25,858,144","$482,195,847"
AIOZ Network,AIOZ,"Feb 06, 2025",$0.4869,$0.4972,$0.4278,$0.4337,"$25,399,603","$500,984,056"
AIOZ Network,AIOZ,"Feb 05, 2025",$0.5148,$0.5281,$0.4852,$0.4869,"$30,464,050","$562,442,023"
AIOZ Network,AIOZ,"Feb 04, 2025",$0.6058,$0.6132,$0.49,$0.515,"$59,056,101","$594,520,034"
AIOZ Network,AIOZ,"Feb 03, 2025",$0.5342,$0.6112,$0.4023,$0.6057,"$156,757,297","$699,457,217"
AIOZ Network,AIOZ,"Feb 02, 2025",$0.6498,$0.6626,$0.5145,$0.5342,"$63,909,638","$616,693,957"
AIOZ Network,AIOZ,"Feb 01, 2025",$0.7191,$0.748,$0.6482,$0.6498,"$26,537,169","$749,960,243"
AIOZ Network,AIOZ,"Jan 31, 2025",$0.7391,$0.773,$0.7139,$0.7191,"$35,730,871","$829,866,686"
AIOZ Network,AIOZ,"Jan 30, 2025",$0.7282,$0.7594,$0.6958,$0.7395,"$31,368,620","$853,217,332"
AIOZ Network,AIOZ,"Jan 29, 2025",$0.7322,$0.7804,$0.6923,$0.7282,"$41,173,759","$839,988,654"
AIOZ Network,AIOZ,"Jan 28, 2025",$0.7836,$0.8731,$0.6876,$0.7322,"$70,604,521","$844,502,872"
AIOZ Network,AIOZ,"Jan 27, 2025",$0.8839,$0.885,$0.7694,$0.7836,"$82,662,440","$903,612,640"
AIOZ Network,AIOZ,"Jan 26, 2025",$0.7713,$1.0219,$0.7286,$0.8839,"$134,360,135","$1,019,085,393"
AIOZ Network,AIOZ,"Jan 25, 2025",$0.7885,$0.8027,$0.7673,$0.7713,"$15,663,884","$889,097,886"
AIOZ Network,AIOZ,"Jan 24, 2025",$0.7904,$0.8322,$0.7697,$0.7878,"$25,583,717","$907,958,835"
AIOZ Network,AIOZ,"Jan 23, 2025",$0.8176,$0.8252,$0.7596,$0.7904,"$41,520,860","$910,769,401"
AIOZ Network,AIOZ,"Jan 22, 2025",$0.8646,$0.8768,$0.8176,$0.8176,"$26,195,671","$941,955,397"
AIOZ Network,AIOZ,"Jan 21, 2025",$0.879,$0.903,$0.8375,$0.8646,"$49,651,418","$995,893,108"
AIOZ Network,AIOZ,"Jan 20, 2025",$0.8537,$0.9311,$0.8329,$0.8776,"$98,220,759","$1,012,279,504"
AIOZ Network,AIOZ,"Jan 19, 2025",$0.9098,$0.9545,$0.8408,$0.8541,"$117,631,351","$983,027,562"
