Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Aptos,APT,"Feb 17, 2025",$5.8167,$6.1448,$5.7833,$5.9160,"$160,433,650","$3,473,978,448"
Aptos,APT,"Feb 16, 2025",$6.0119,$6.0402,$5.7724,$5.8167,"$103,996,644","$3,414,755,024"
Aptos,APT,"Feb 15, 2025",$6.1064,$6.2525,$5.9768,$6.0119,"$125,790,284","$3,528,514,795"
Aptos,APT,"Feb 14, 2025",$6.1361,$6.3153,$6.0390,$6.1064,"$184,144,242","$3,583,066,559"
Aptos,APT,"Feb 13, 2025",$6.1619,$6.2935,$5.9621,$6.1359,"$226,577,291","$3,599,570,226"
Aptos,APT,"Feb 12, 2025",$5.8845,$6.2386,$5.7872,$6.1619,"$255,336,078","$3,544,171,807"
Aptos,APT,"Feb 11, 2025",$6.1850,$6.3841,$5.8205,$5.8845,"$252,079,581","$3,383,610,109"
Aptos,APT,"Feb 10, 2025",$5.9056,$6.3651,$5.6798,$6.1850,"$337,729,803","$3,555,528,709"
Aptos,APT,"Feb 09, 2025",$5.8533,$5.9625,$5.6180,$5.9056,"$202,135,870","$3,393,788,577"
Aptos,APT,"Feb 08, 2025",$5.7131,$5.8869,$5.5220,$5.8533,"$170,638,843","$3,362,782,958"
Aptos,APT,"Feb 07, 2025",$5.7264,$6.2419,$5.5437,$5.7131,"$318,577,704","$3,281,263,288"
Aptos,APT,"Feb 06, 2025",$5.9654,$6.1386,$5.6999,$5.7264,"$266,055,404","$3,288,092,583"
Aptos,APT,"Feb 05, 2025",$6.0930,$6.2600,$5.8990,$5.9654,"$245,358,207","$3,424,639,482"
Aptos,APT,"Feb 04, 2025",$6.5074,$6.5667,$5.8459,$6.0931,"$359,813,527","$3,497,208,948"
Aptos,APT,"Feb 03, 2025",$6.1358,$6.5084,$4.8064,$6.5074,"$828,377,080","$3,736,334,031"
Aptos,APT,"Feb 02, 2025",$7.0699,$7.1854,$5.9400,$6.1358,"$420,420,459","$3,520,758,909"
Aptos,APT,"Feb 01, 2025",$7.8076,$7.8442,$7.0282,$7.0699,"$238,429,292","$4,056,040,432"
Aptos,APT,"Jan 31, 2025",$7.8440,$8.3804,$7.6800,$7.8076,"$252,834,649","$4,478,966,565"
Aptos,APT,"Jan 30, 2025",$7.4251,$8.0059,$7.3806,$7.8440,"$226,182,843","$4,498,611,804"
Aptos,APT,"Jan 29, 2025",$7.2134,$7.6596,$7.1717,$7.4248,"$249,577,145","$4,258,452,146"
Aptos,APT,"Jan 28, 2025",$7.6248,$7.7499,$7.1407,$7.2134,"$193,058,120","$4,135,815,030"
Aptos,APT,"Jan 27, 2025",$7.8353,$7.8362,$6.9358,$7.6248,"$379,511,660","$4,370,609,852"
Aptos,APT,"Jan 26, 2025",$8.0927,$8.4319,$7.8331,$7.8353,"$127,479,916","$4,489,993,889"
Aptos,APT,"Jan 25, 2025",$8.2061,$8.2524,$8.0503,$8.0925,"$145,846,034","$4,636,155,113"
Aptos,APT,"Jan 24, 2025",$8.3407,$8.5626,$8.0170,$8.2061,"$198,139,969","$4,699,917,151"
Aptos,APT,"Jan 23, 2025",$8.4865,$8.5565,$8.1073,$8.3407,"$240,867,043","$4,775,569,793"
Aptos,APT,"Jan 22, 2025",$8.7416,$8.9617,$8.4682,$8.4866,"$193,189,149","$4,857,776,421"
Aptos,APT,"Jan 21, 2025",$8.5428,$8.8637,$8.1291,$8.7416,"$306,937,330","$5,002,417,747"
Aptos,APT,"Jan 20, 2025",$8.4864,$9.1953,$8.2380,$8.5425,"$550,961,127","$4,887,220,673"
Aptos,APT,"Jan 19, 2025",$9.3201,$9.5306,$8.4701,$8.4866,"$547,685,303","$4,853,570,142"
Aptos,APT,"Jan 18, 2025",$9.7598,$9.8618,$9.0702,$9.3201,"$267,349,282","$5,328,980,774"
Aptos,APT,"Jan 17, 2025",$9.2322,$9.8252,$9.2319,$9.7599,"$265,705,381","$5,578,917,665"
Aptos,APT,"Jan 16, 2025",$9.4709,$9.4964,$9.0421,$9.2322,"$282,344,073","$5,275,691,127"
Aptos,APT,"Jan 15, 2025",$9.0165,$9.5082,$8.7537,$9.4711,"$235,369,915","$5,410,550,459"
Aptos,APT,"Jan 14, 2025",$8.4782,$9.0861,$8.4245,$9.0165,"$207,672,219","$5,149,424,063"
Aptos,APT,"Jan 13, 2025",$8.8273,$9.0559,$7.9768,$8.4782,"$362,471,327","$4,841,807,442"
Aptos,APT,"Jan 12, 2025",$9.1195,$9.1458,$8.7281,$8.8273,"$211,187,009","$4,939,891,315"
