Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Bittensor,TAO,"Feb 17, 2025",$360.35,$377.26,$347.92,$360.66,"$127,993,502","$3,021,583,570"
Bittensor,TAO,"Feb 16, 2025",$375.25,$376.67,$355.87,$360.35,"$72,043,614","$3,022,283,081"
Bittensor,TAO,"Feb 15, 2025",$391.57,$401.19,$371.50,$375.25,"$81,055,507","$3,144,522,029"
Bittensor,TAO,"Feb 14, 2025",$382.88,$406.05,$377.26,$391.57,"$152,631,635","$3,278,525,396"
Bittensor,TAO,"Feb 13, 2025",$402.31,$414.36,$370.49,$382.88,"$164,779,325","$3,203,136,936"
Bittensor,TAO,"Feb 12, 2025",$412.24,$417.57,$373.82,$402.31,"$231,110,498","$3,305,063,426"
Bittensor,TAO,"Feb 11, 2025",$386.73,$436.21,$386.69,$412.24,"$257,936,988","$3,386,637,001"
Bittensor,TAO,"Feb 10, 2025",$365.17,$399.27,$352.33,$386.73,"$198,159,479","$3,177,045,770"
Bittensor,TAO,"Feb 09, 2025",$351.42,$369.96,$344.01,$365.17,"$155,213,427","$2,999,921,822"
Bittensor,TAO,"Feb 08, 2025",$320.06,$352.99,$318.09,$351.42,"$135,763,350","$2,886,973,197"
Bittensor,TAO,"Feb 07, 2025",$326.27,$352.05,$307.95,$320.06,"$187,163,028","$2,629,395,740"
Bittensor,TAO,"Feb 06, 2025",$350.07,$375.63,$324.48,$326.27,"$187,975,249","$2,680,407,698"
Bittensor,TAO,"Feb 05, 2025",$358.76,$369.02,$342.11,$350.07,"$173,490,431","$2,875,882,397"
Bittensor,TAO,"Feb 04, 2025",$399.72,$399.72,$347.47,$358.76,"$291,155,895","$2,947,269,103"
Bittensor,TAO,"Feb 03, 2025",$351.03,$400.76,$246.64,$399.72,"$691,984,282","$3,283,758,162"
Bittensor,TAO,"Feb 02, 2025",$393.67,$405.12,$339.98,$351.03,"$319,523,559","$2,883,759,763"
Bittensor,TAO,"Feb 01, 2025",$448.69,$470.58,$390.87,$393.67,"$198,257,865","$3,234,073,167"
Bittensor,TAO,"Jan 31, 2025",$452.80,$474.90,$445.89,$448.70,"$166,065,344","$3,686,188,670"
Bittensor,TAO,"Jan 30, 2025",$448.49,$477.07,$445.18,$452.80,"$182,177,917","$3,719,822,705"
Bittensor,TAO,"Jan 29, 2025",$451.37,$497.03,$442.07,$448.48,"$357,969,234","$3,684,487,216"
Bittensor,TAO,"Jan 28, 2025",$445.90,$463.49,$429.20,$451.37,"$250,883,386","$3,708,117,366"
Bittensor,TAO,"Jan 27, 2025",$433.87,$477.71,$386.52,$445.90,"$544,322,982","$3,664,578,443"
Bittensor,TAO,"Jan 26, 2025",$407.66,$462.09,$402.56,$433.87,"$254,044,341","$3,564,335,767"
Bittensor,TAO,"Jan 25, 2025",$371.92,$418.59,$363.66,$407.66,"$141,147,475","$3,349,019,829"
Bittensor,TAO,"Jan 24, 2025",$380.04,$390.37,$363.17,$371.92,"$145,671,881","$3,055,375,791"
