Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Ethena,ENA,"Feb 17, 2025",$0.4497,$0.4829,$0.4364,$0.4551,"$197,039,689","$1,423,581,262"
Ethena,ENA,"Feb 16, 2025",$0.4564,$0.4652,$0.4423,$0.4497,"$97,659,306","$1,406,690,958"
Ethena,ENA,"Feb 15, 2025",$0.4862,$0.4963,$0.4514,$0.4564,"$150,232,591","$1,427,740,408"
Ethena,ENA,"Feb 14, 2025",$0.4501,$0.5016,$0.4438,$0.4862,"$229,200,708","$1,520,789,452"
Ethena,ENA,"Feb 13, 2025",$0.4501,$0.4693,$0.431,$0.4501,"$281,339,185","$1,407,820,357"
Ethena,ENA,"Feb 12, 2025",$0.4425,$0.4576,$0.4034,$0.4501,"$289,890,907","$1,408,062,814"
Ethena,ENA,"Feb 11, 2025",$0.477,$0.5064,$0.4377,$0.4425,"$284,580,322","$1,384,288,539"
Ethena,ENA,"Feb 10, 2025",$0.4773,$0.5014,$0.4648,$0.477,"$254,989,824","$1,492,111,884"
Ethena,ENA,"Feb 09, 2025",$0.5231,$0.5362,$0.46,$0.4773,"$196,736,451","$1,493,082,106"
Ethena,ENA,"Feb 08, 2025",$0.4943,$0.5325,$0.4785,$0.5231,"$225,714,042","$1,636,332,277"
Ethena,ENA,"Feb 07, 2025",$0.4729,$0.5479,$0.4729,$0.4943,"$418,290,601","$1,546,356,396"
Ethena,ENA,"Feb 06, 2025",$0.5491,$0.5595,$0.4673,$0.473,"$325,887,345","$1,479,664,185"
Ethena,ENA,"Feb 05, 2025",$0.6084,$0.6108,$0.5432,$0.5491,"$289,611,231","$1,717,559,023"
Ethena,ENA,"Feb 04, 2025",$0.6796,$0.6855,$0.591,$0.6084,"$452,075,815","$1,903,300,669"
Ethena,ENA,"Feb 03, 2025",$0.5812,$0.6976,$0.4928,$0.6796,"$996,384,156","$2,125,972,825"
Ethena,ENA,"Feb 02, 2025",$0.6766,$0.6929,$0.5535,$0.5812,"$443,127,400","$1,818,009,557"
Ethena,ENA,"Feb 01, 2025",$0.7636,$0.7874,$0.6713,$0.6766,"$261,770,948","$2,052,013,231"
Ethena,ENA,"Jan 31, 2025",$0.759,$0.8182,$0.7277,$0.7636,"$420,144,915","$2,315,842,709"
