Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Injective,INJ,"Feb 17, 2025",$14.90,$16.20,$14.76,$14.95,"$141,012,625","$1,479,831,243"
Injective,INJ,"Feb 16, 2025",$15.27,$15.34,$14.60,$14.90,"$71,997,207","$1,475,107,375"
Injective,INJ,"Feb 15, 2025",$15.37,$15.85,$14.83,$15.27,"$95,223,053","$1,511,633,241"
Injective,INJ,"Feb 14, 2025",$15.10,$15.83,$14.95,$15.37,"$106,971,198","$1,521,009,483"
Injective,INJ,"Feb 13, 2025",$14.93,$15.38,$14.64,$15.10,"$102,446,917","$1,494,931,821"
Injective,INJ,"Feb 12, 2025",$14.24,$15.02,$13.53,$14.93,"$130,009,005","$1,477,515,184"
Injective,INJ,"Feb 11, 2025",$14.57,$15.59,$14.08,$14.24,"$119,094,771","$1,408,934,361"
Injective,INJ,"Feb 10, 2025",$13.75,$15.07,$13.42,$14.57,"$158,591,167","$1,441,608,090"
Injective,INJ,"Feb 09, 2025",$13.83,$14.32,$13.06,$13.75,"$103,211,689","$1,361,268,794"
Injective,INJ,"Feb 08, 2025",$13.47,$13.94,$12.86,$13.83,"$100,316,584","$1,368,892,469"
Injective,INJ,"Feb 07, 2025",$13.13,$14.73,$12.94,$13.47,"$139,474,911","$1,333,601,856"
Injective,INJ,"Feb 06, 2025",$13.99,$14.35,$12.97,$13.13,"$121,268,907","$1,299,784,969"
Injective,INJ,"Feb 05, 2025",$14.39,$14.91,$13.81,$13.99,"$96,680,705","$1,384,660,973"
Injective,INJ,"Feb 04, 2025",$16.04,$16.13,$13.79,$14.39,"$182,480,307","$1,423,822,858"
Injective,INJ,"Feb 03, 2025",$15.52,$16.28,$11.87,$16.04,"$405,929,142","$1,587,711,397"
Injective,INJ,"Feb 02, 2025",$18.33,$18.84,$14.95,$15.52,"$202,558,639","$1,535,792,286"
Injective,INJ,"Feb 01, 2025",$20.25,$20.56,$18.16,$18.33,"$104,025,401","$1,814,093,128"
Injective,INJ,"Jan 31, 2025",$19.94,$21.12,$19.69,$20.25,"$121,898,543","$2,004,190,295"
Injective,INJ,"Jan 30, 2025",$18.37,$20.33,$18.20,$19.94,"$121,481,651","$1,973,650,630"
Injective,INJ,"Jan 29, 2025",$17.59,$19.02,$17.57,$18.37,"$117,566,584","$1,817,825,561"
Injective,INJ,"Jan 28, 2025",$19.14,$19.41,$17.32,$17.59,"$115,276,561","$1,741,390,861"
Injective,INJ,"Jan 27, 2025",$20.16,$20.27,$18.11,$19.14,"$196,373,876","$1,894,384,743"
Injective,INJ,"Jan 26, 2025",$20.67,$21.39,$20.16,$20.16,"$86,869,235","$1,995,173,467"
Injective,INJ,"Jan 25, 2025",$20.78,$21.14,$20.34,$20.67,"$78,336,464","$2,045,883,846"
Injective,INJ,"Jan 24, 2025",$20.85,$21.83,$20.25,$20.78,"$111,354,043","$2,056,739,824"
Injective,INJ,"Jan 23, 2025",$21.42,$21.79,$20.35,$20.85,"$129,562,609","$2,063,425,767"
Injective,INJ,"Jan 22, 2025",$22.78,$23.03,$21.31,$21.42,"$101,448,705","$2,120,091,273"
