Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Kaspa,KAS,"Feb 17, 2025",$0.109,$0.112,$0.104,$0.1047,"$71,865,844","$2,695,866,878"
Kaspa,KAS,"Feb 16, 2025",$0.1071,$0.1121,$0.1071,$0.109,"$59,766,190","$2,805,157,335"
Kaspa,KAS,"Feb 15, 2025",$0.1068,$0.11,$0.1052,$0.1071,"$53,686,449","$2,754,941,924"
Kaspa,KAS,"Feb 14, 2025",$0.1024,$0.1118,$0.1015,$0.1068,"$96,361,931","$2,747,265,887"
Kaspa,KAS,"Feb 13, 2025",$0.09826,$0.1068,$0.09537,$0.1024,"$105,255,314","$2,633,134,565"
Kaspa,KAS,"Feb 12, 2025",$0.09592,$0.1001,$0.08949,$0.09826,"$99,545,650","$2,525,765,062"
Kaspa,KAS,"Feb 11, 2025",$0.09295,$0.1099,$0.09283,$0.09592,"$124,866,135","$2,466,423,138"
Kaspa,KAS,"Feb 10, 2025",$0.08659,$0.09367,$0.08425,$0.09295,"$51,251,350","$2,388,217,441"
Kaspa,KAS,"Feb 09, 2025",$0.08837,$0.09014,$0.08235,$0.08659,"$53,628,116","$2,225,575,664"
Kaspa,KAS,"Feb 08, 2025",$0.08738,$0.08906,$0.08495,$0.08837,"$43,728,040","$2,269,553,662"
Kaspa,KAS,"Feb 07, 2025",$0.08305,$0.09486,$0.08285,$0.08738,"$100,229,592","$2,243,689,985"
Kaspa,KAS,"Feb 06, 2025",$0.09215,$0.09324,$0.08186,$0.08305,"$117,838,249","$2,133,325,854"
Kaspa,KAS,"Feb 05, 2025",$0.09916,$0.09992,$0.09207,$0.09215,"$74,455,574","$2,365,201,440"
Kaspa,KAS,"Feb 04, 2025",$0.1103,$0.1107,$0.09428,$0.09916,"$120,812,600","$2,544,509,725"
Kaspa,KAS,"Feb 03, 2025",$0.1153,$0.1154,$0.07535,$0.1103,"$408,181,128","$2,829,237,957"
Kaspa,KAS,"Feb 02, 2025",$0.1219,$0.1244,$0.1123,$0.1153,"$119,417,075","$2,959,737,599"
Kaspa,KAS,"Feb 01, 2025",$0.1298,$0.131,$0.1216,$0.1219,"$49,866,739","$3,125,737,444"
Kaspa,KAS,"Jan 31, 2025",$0.1314,$0.1333,$0.1287,$0.1298,"$52,389,721","$3,330,118,886"
Kaspa,KAS,"Jan 30, 2025",$0.123,$0.1349,$0.1223,$0.1314,"$67,809,851","$3,368,593,065"
Kaspa,KAS,"Jan 29, 2025",$0.1215,$0.1247,$0.1188,$0.123,"$68,159,117","$3,152,549,615"
Kaspa,KAS,"Jan 28, 2025",$0.1281,$0.1292,$0.1204,$0.1215,"$60,763,372","$3,112,185,789"
Kaspa,KAS,"Jan 27, 2025",$0.1287,$0.1292,$0.1179,$0.1281,"$114,786,723","$3,281,817,092"
Kaspa,KAS,"Jan 26, 2025",$0.1318,$0.1339,$0.1287,$0.1287,"$41,634,980","$3,297,274,447"
Kaspa,KAS,"Jan 25, 2025",$0.1316,$0.1344,$0.1279,$0.1318,"$50,230,675","$3,375,528,998"
Kaspa,KAS,"Jan 24, 2025",$0.1302,$0.1348,$0.1278,$0.1316,"$57,906,461","$3,369,196,447"
Kaspa,KAS,"Jan 23, 2025",$0.1305,$0.1333,$0.126,$0.1302,"$76,241,727","$3,330,934,801"
Kaspa,KAS,"Jan 22, 2025",$0.1362,$0.1376,$0.1294,$0.1305,"$59,520,737","$3,339,635,711"
Kaspa,KAS,"Jan 21, 2025",$0.1272,$0.1407,$0.1246,$0.1362,"$114,919,647","$3,485,650,888"
Kaspa,KAS,"Jan 20, 2025",$0.1242,$0.1344,$0.1225,$0.1272,"$180,231,943","$3,253,836,818"
Kaspa,KAS,"Jan 19, 2025",$0.1407,$0.1413,$0.1231,$0.1242,"$232,032,920","$3,176,388,310"
Kaspa,KAS,"Jan 18, 2025",$0.1541,$0.1562,$0.138,$0.1407,"$131,710,750","$3,598,307,429"
Kaspa,KAS,"Jan 17, 2025",$0.1456,$0.1548,$0.1456,$0.1541,"$107,767,289","$3,939,884,815"
Kaspa,KAS,"Jan 16, 2025",$0.1379,$0.1532,$0.1367,$0.1456,"$124,487,380","$3,720,896,511"
Kaspa,KAS,"Jan 15, 2025",$0.1372,$0.14,$0.1326,$0.1379,"$99,101,303","$3,524,741,109"
Kaspa,KAS,"Jan 14, 2025",$0.1172,$0.1396,$0.1171,$0.1372,"$149,300,973","$3,502,384,925"
Kaspa,KAS,"Jan 13, 2025",$0.1167,$0.118,$0.1081,$0.1172,"$137,424,188","$2,992,403,176"
Kaspa,KAS,"Jan 12, 2025",$0.1163,$0.1194,$0.1159,$0.1167,"$52,444,088","$2,979,453,814"
Kaspa,KAS,"Jan 11, 2025",$0.1147,$0.118,$0.1142,$0.1163,"$55,579,483","$2,968,277,100"
Kaspa,KAS,"Jan 10, 2025",$0.1129,$0.1163,$0.1126,$0.1147,"$79,195,744","$2,927,991,626"
Kaspa,KAS,"Jan 09, 2025",$0.1171,$0.1182,$0.1111,$0.1129,"$117,975,998","$2,882,323,005"
Kaspa,KAS,"Jan 08, 2025",$0.1139,$0.1175,$0.1093,$0.1171,"$145,588,770","$2,988,018,463"
Kaspa,KAS,"Jan 07, 2025",$0.1234,$0.1238,$0.1135,$0.1139,"$120,710,447","$2,904,507,024"
Kaspa,KAS,"Jan 06, 2025",$0.1244,$0.1265,$0.121,$0.1234,"$101,263,347","$3,144,722,738"
Kaspa,KAS,"Jan 05, 2025",$0.1264,$0.1266,$0.1218,$0.1244,"$78,187,770","$3,169,501,708"
Kaspa,KAS,"Jan 04, 2025",$0.1288,$0.1295,$0.1258,$0.1264,"$90,822,208","$3,220,378,882"
Kaspa,KAS,"Jan 03, 2025",$0.1226,$0.1301,$0.1203,$0.1288,"$116,603,478","$3,282,789,198"
Kaspa,KAS,"Jan 02, 2025",$0.1169,$0.1263,$0.1169,$0.1226,"$119,879,054","$3,122,589,336"
Kaspa,KAS,"Jan 01, 2025",$0.1146,$0.1177,$0.1124,$0.1169,"$75,598,839","$2,978,725,807"
Kaspa,KAS,"Dec 31, 2024",$0.1154,$0.1172,$0.1133,$0.1146,"$75,055,891","$2,916,904,833"
Kaspa,KAS,"Dec 30, 2024",$0.1155,$0.1188,$0.1129,$0.1154,"$97,749,257","$2,937,248,143"
Kaspa,KAS,"Dec 29, 2024",$0.1205,$0.1212,$0.1149,$0.1155,"$73,542,982","$2,940,892,670"
Kaspa,KAS,"Dec 28, 2024",$0.1177,$0.122,$0.116,$0.1205,"$97,536,104","$3,065,187,246"
Kaspa,KAS,"Dec 27, 2024",$0.1118,$0.1189,$0.111,$0.1177,"$124,110,245","$2,991,757,952"
Kaspa,KAS,"Dec 26, 2024",$0.1195,$0.1212,$0.1111,$0.1118,"$163,899,736","$2,842,994,803"
Kaspa,KAS,"Dec 25, 2024",$0.1182,$0.121,$0.1166,$0.1195,"$112,173,359","$3,039,283,562"
Kaspa,KAS,"Dec 24, 2024",$0.1217,$0.1231,$0.1153,$0.1182,"$215,008,773","$3,003,885,641"
Kaspa,KAS,"Dec 23, 2024",$0.1162,$0.1229,$0.1144,$0.1217,"$184,906,378","$3,092,087,398"
Kaspa,KAS,"Dec 22, 2024",$0.1187,$0.1226,$0.1151,$0.1162,"$155,900,615","$2,953,291,675"
Kaspa,KAS,"Dec 21, 2024",$0.1232,$0.1292,$0.1171,$0.1187,"$157,875,502","$3,015,737,677"
Kaspa,KAS,"Dec 20, 2024",$0.121,$0.1267,$0.1105,$0.1232,"$340,212,392","$3,127,307,749"
Kaspa,KAS,"Dec 19, 2024",$0.1273,$0.1321,$0.1157,$0.121,"$319,781,176","$3,069,358,878"
Kaspa,KAS,"Dec 18, 2024",$0.1394,$0.1395,$0.1249,$0.1273,"$270,143,451","$3,229,613,506"
Kaspa,KAS,"Dec 17, 2024",$0.1482,$0.1482,$0.1383,$0.1394,"$251,160,362","$3,535,417,004"
Kaspa,KAS,"Dec 16, 2024",$0.1566,$0.1578,$0.1481,$0.1482,"$216,871,539","$3,758,542,288"
Kaspa,KAS,"Dec 15, 2024",$0.1568,$0.1579,$0.1523,$0.1566,"$117,202,315","$3,969,734,819"
Kaspa,KAS,"Dec 14, 2024",$0.1621,$0.163,$0.1533,$0.1568,"$145,149,630","$3,975,394,067"
Kaspa,KAS,"Dec 13, 2024",$0.1631,$0.1642,$0.1581,$0.1621,"$160,258,382","$4,108,877,278"
Kaspa,KAS,"Dec 12, 2024",$0.1645,$0.1729,$0.1608,$0.1631,"$269,254,219","$4,134,023,051"
Kaspa,KAS,"Dec 11, 2024",$0.1573,$0.1683,$0.1522,$0.1645,"$242,971,275","$4,166,689,089"
Kaspa,KAS,"Dec 10, 2024",$0.165,$0.1664,$0.1497,$0.1573,"$376,799,078","$3,983,793,909"
Kaspa,KAS,"Dec 09, 2024",$0.1886,$0.189,$0.1548,$0.165,"$383,775,011","$4,179,162,865"
Kaspa,KAS,"Dec 08, 2024",$0.1862,$0.189,$0.1791,$0.1886,"$269,023,652","$4,774,906,929"
Kaspa,KAS,"Dec 07, 2024",$0.1747,$0.188,$0.1686,$0.1849,"$408,358,135","$4,679,987,786"
Kaspa,KAS,"Dec 06, 2024",$0.1589,$0.1753,$0.1586,$0.1747,"$349,154,313","$4,421,513,613"
Kaspa,KAS,"Dec 05, 2024",$0.1589,$0.1634,$0.1539,$0.1591,"$260,351,646","$4,024,663,539"
Kaspa,KAS,"Dec 04, 2024",$0.159,$0.1654,$0.1574,$0.1589,"$293,914,852","$4,018,129,870"
Kaspa,KAS,"Dec 03, 2024",$0.1583,$0.1598,$0.1492,$0.159,"$278,836,608","$4,021,181,016"
Kaspa,KAS,"Dec 02, 2024",$0.1691,$0.172,$0.1534,$0.1583,"$285,068,124","$4,002,415,811"
Kaspa,KAS,"Dec 01, 2024",$0.1613,$0.1697,$0.1577,$0.1691,"$225,490,759","$4,271,557,119"
Kaspa,KAS,"Nov 30, 2024",$0.1543,$0.1651,$0.1535,$0.1613,"$207,403,130","$4,072,174,248"
Kaspa,KAS,"Nov 29, 2024",$0.1518,$0.1558,$0.1492,$0.1543,"$123,157,543","$3,896,890,027"
Kaspa,KAS,"Nov 28, 2024",$0.1536,$0.1536,$0.1483,$0.1518,"$119,933,763","$3,833,072,285"
Kaspa,KAS,"Nov 27, 2024",$0.1491,$0.1537,$0.1464,$0.1536,"$145,180,661","$3,876,078,702"
Kaspa,KAS,"Nov 26, 2024",$0.1497,$0.1524,$0.1419,$0.1491,"$157,670,521","$3,760,251,384"
Kaspa,KAS,"Nov 25, 2024",$0.1524,$0.1577,$0.1471,$0.1497,"$203,746,493","$3,777,582,079"
Kaspa,KAS,"Nov 24, 2024",$0.1536,$0.1575,$0.1452,$0.1524,"$211,094,294","$3,845,797,437"
Kaspa,KAS,"Nov 23, 2024",$0.1536,$0.1645,$0.1506,$0.1536,"$234,395,855","$3,870,624,295"
Kaspa,KAS,"Nov 22, 2024",$0.1534,$0.1537,$0.1461,$0.1536,"$149,519,602","$3,871,981,884"
Kaspa,KAS,"Nov 21, 2024",$0.1518,$0.1571,$0.1455,$0.1534,"$173,223,511","$3,864,705,179"
Kaspa,KAS,"Nov 20, 2024",$0.1593,$0.1663,$0.1496,$0.1518,"$195,482,471","$3,823,173,702"
Kaspa,KAS,"Nov 19, 2024",$0.1707,$0.1778,$0.1562,$0.1593,"$257,362,993","$4,012,327,878"
Kaspa,KAS,"Nov 18, 2024",$0.1502,$0.1747,$0.1489,$0.1707,"$267,672,793","$4,294,874,574"
Kaspa,KAS,"Nov 17, 2024",$0.1467,$0.1556,$0.1407,$0.1502,"$151,486,753","$3,781,233,809"
Kaspa,KAS,"Nov 16, 2024",$0.1391,$0.149,$0.1362,$0.1467,"$139,816,372","$3,690,031,188"
Kaspa,KAS,"Nov 15, 2024",$0.1402,$0.1424,$0.1269,$0.1424,"$218,531,280","$3,583,161,989"
Kaspa,KAS,"Nov 14, 2024",$0.1279,$0.1524,$0.1224,$0.1402,"$288,612,438","$3,526,149,084"
Kaspa,KAS,"Nov 13, 2024",$0.1388,$0.1413,$0.1244,$0.1279,"$170,666,196","$3,215,576,581"
Kaspa,KAS,"Nov 12, 2024",$0.1531,$0.1531,$0.1326,$0.1388,"$269,448,519","$3,490,227,997"
Kaspa,KAS,"Nov 11, 2024",$0.1518,$0.1575,$0.1473,$0.1531,"$261,951,312","$3,847,098,945"
Kaspa,KAS,"Nov 10, 2024",$0.1345,$0.1616,$0.1324,$0.1518,"$578,032,473","$3,813,219,760"
Kaspa,KAS,"Nov 09, 2024",$0.112,$0.136,$0.11,$0.1345,"$239,768,754","$3,378,107,446"
Kaspa,KAS,"Nov 08, 2024",$0.1145,$0.116,$0.1073,$0.112,"$117,657,945","$2,812,336,805"
Kaspa,KAS,"Nov 07, 2024",$0.1201,$0.1236,$0.1124,$0.1145,"$127,293,994","$2,875,484,390"
Kaspa,KAS,"Nov 06, 2024",$0.1111,$0.1236,$0.111,$0.1201,"$153,463,301","$3,015,372,281"
Kaspa,KAS,"Nov 05, 2024",$0.1037,$0.1139,$0.1037,$0.1111,"$66,593,823","$2,785,905,678"
Kaspa,KAS,"Nov 04, 2024",$0.1083,$0.1105,$0.1014,$0.1037,"$60,263,850","$2,599,857,715"
Kaspa,KAS,"Nov 03, 2024",$0.1127,$0.1129,$0.106,$0.1083,"$61,328,287","$2,714,873,451"
Kaspa,KAS,"Nov 02, 2024",$0.1166,$0.1173,$0.1113,$0.1127,"$38,275,644","$2,825,014,043"
Kaspa,KAS,"Nov 01, 2024",$0.1142,$0.1205,$0.1133,$0.1166,"$110,141,937","$2,921,117,541"
Kaspa,KAS,"Oct 31, 2024",$0.1126,$0.118,$0.1121,$0.1142,"$129,619,281","$2,860,103,456"
Kaspa,KAS,"Oct 30, 2024",$0.1128,$0.1142,$0.1053,$0.1126,"$110,075,343","$2,820,165,171"
Kaspa,KAS,"Oct 29, 2024",$0.1191,$0.1217,$0.1087,$0.1128,"$114,162,891","$2,823,972,729"
Kaspa,KAS,"Oct 28, 2024",$0.1212,$0.1217,$0.1163,$0.1191,"$49,988,695","$2,982,373,591"
Kaspa,KAS,"Oct 27, 2024",$0.118,$0.1247,$0.1164,$0.1212,"$38,869,912","$3,030,646,129"
Kaspa,KAS,"Oct 26, 2024",$0.1127,$0.1202,$0.1099,$0.118,"$113,753,747","$2,952,302,580"
Kaspa,KAS,"Oct 25, 2024",$0.1292,$0.1308,$0.1049,$0.1127,"$93,933,572","$2,817,545,687"
Kaspa,KAS,"Oct 24, 2024",$0.1312,$0.1339,$0.1291,$0.1292,"$38,382,752","$3,229,138,332"
Kaspa,KAS,"Oct 23, 2024",$0.136,$0.1366,$0.1284,$0.1304,"$49,228,786","$3,260,208,379"
Kaspa,KAS,"Oct 22, 2024",$0.1298,$0.1382,$0.1284,$0.136,"$83,672,226","$3,397,536,623"
Kaspa,KAS,"Oct 21, 2024",$0.133,$0.1353,$0.1275,$0.1298,"$49,517,705","$3,239,866,426"
Kaspa,KAS,"Oct 20, 2024",$0.1292,$0.1335,$0.1262,$0.133,"$36,938,774","$3,320,759,319"
Kaspa,KAS,"Oct 19, 2024",$0.1305,$0.1331,$0.1274,$0.1292,"$32,462,801","$3,223,958,412"
Kaspa,KAS,"Oct 18, 2024",$0.1259,$0.1325,$0.1251,$0.1305,"$61,835,350","$3,254,598,420"
Kaspa,KAS,"Oct 17, 2024",$0.1311,$0.1317,$0.1209,$0.1259,"$100,423,088","$3,138,907,121"
Kaspa,KAS,"Oct 16, 2024",$0.1347,$0.1347,$0.1303,$0.1311,"$31,604,148","$3,268,770,565"
Kaspa,KAS,"Oct 15, 2024",$0.1378,$0.1382,$0.1322,$0.1347,"$51,863,980","$3,356,674,518"
Kaspa,KAS,"Oct 14, 2024",$0.1329,$0.1406,$0.1316,$0.1378,"$40,770,180","$3,433,307,124"
Kaspa,KAS,"Oct 13, 2024",$0.1327,$0.1351,$0.1297,$0.1329,"$25,695,943","$3,309,145,792"
Kaspa,KAS,"Oct 12, 2024",$0.1372,$0.1416,$0.1321,$0.1327,"$41,038,500","$3,303,892,706"
Kaspa,KAS,"Oct 11, 2024",$0.1324,$0.1391,$0.13,$0.1372,"$40,687,815","$3,415,963,896"
Kaspa,KAS,"Oct 10, 2024",$0.1328,$0.1348,$0.1268,$0.1324,"$43,702,829","$3,297,118,111"
Kaspa,KAS,"Oct 09, 2024",$0.1402,$0.141,$0.1306,$0.1328,"$40,744,596","$3,303,049,829"
Kaspa,KAS,"Oct 08, 2024",$0.1362,$0.1437,$0.1316,$0.1402,"$58,138,536","$3,486,120,985"
Kaspa,KAS,"Oct 07, 2024",$0.1427,$0.1474,$0.1361,$0.1362,"$56,322,932","$3,387,903,788"
Kaspa,KAS,"Oct 06, 2024",$0.1479,$0.149,$0.1424,$0.1427,"$24,353,135","$3,549,281,687"
Kaspa,KAS,"Oct 05, 2024",$0.1483,$0.1507,$0.1456,$0.1479,"$19,126,008","$3,674,770,991"
Kaspa,KAS,"Oct 04, 2024",$0.1466,$0.1508,$0.146,$0.1483,"$35,118,276","$3,686,190,350"
Kaspa,KAS,"Oct 03, 2024",$0.1434,$0.1469,$0.1417,$0.1466,"$34,120,379","$3,641,459,902"
Kaspa,KAS,"Oct 02, 2024",$0.1491,$0.1534,$0.1423,$0.1434,"$49,350,676","$3,561,900,845"
Kaspa,KAS,"Oct 01, 2024",$0.1588,$0.1622,$0.1432,$0.1491,"$77,422,416","$3,702,631,244"
Kaspa,KAS,"Sep 30, 2024",$0.1631,$0.164,$0.1577,$0.1588,"$43,667,235","$3,942,433,187"
Kaspa,KAS,"Sep 29, 2024",$0.167,$0.1671,$0.162,$0.1631,"$31,847,464","$4,047,094,919"
Kaspa,KAS,"Sep 28, 2024",$0.1717,$0.1734,$0.1659,$0.167,"$40,882,010","$4,142,049,222"
Kaspa,KAS,"Sep 27, 2024",$0.164,$0.1752,$0.164,$0.1717,"$80,354,762","$4,257,658,830"
Kaspa,KAS,"Sep 26, 2024",$0.1614,$0.1658,$0.1602,$0.164,"$48,547,237","$4,065,575,778"
Kaspa,KAS,"Sep 25, 2024",$0.1649,$0.1678,$0.1602,$0.1614,"$49,682,896","$3,998,209,444"
Kaspa,KAS,"Sep 24, 2024",$0.1642,$0.1652,$0.1595,$0.1649,"$56,818,635","$4,083,334,769"
Kaspa,KAS,"Sep 23, 2024",$0.1646,$0.1676,$0.1634,$0.1642,"$42,370,057","$4,065,741,557"
Kaspa,KAS,"Sep 22, 2024",$0.1709,$0.1711,$0.1615,$0.1646,"$45,448,462","$4,076,361,405"
Kaspa,KAS,"Sep 21, 2024",$0.17,$0.1712,$0.1683,$0.1709,"$21,782,192","$4,229,928,823"
Kaspa,KAS,"Sep 20, 2024",$0.1708,$0.1725,$0.1671,$0.17,"$53,353,918","$4,206,016,757"
Kaspa,KAS,"Sep 19, 2024",$0.1735,$0.1771,$0.1703,$0.1708,"$74,013,042","$4,225,446,880"
Kaspa,KAS,"Sep 18, 2024",$0.1709,$0.1736,$0.1665,$0.1735,"$68,835,810","$4,289,920,318"
Kaspa,KAS,"Sep 17, 2024",$0.1674,$0.175,$0.166,$0.1709,"$60,149,836","$4,224,600,022"
Kaspa,KAS,"Sep 16, 2024",$0.1704,$0.1731,$0.1643,$0.1674,"$61,253,897","$4,136,416,363"
Kaspa,KAS,"Sep 15, 2024",$0.1774,$0.18,$0.1687,$0.1704,"$93,683,048","$4,208,681,056"
Kaspa,KAS,"Sep 14, 2024",$0.1714,$0.1778,$0.1696,$0.1774,"$47,289,652","$4,379,826,264"
Kaspa,KAS,"Sep 13, 2024",$0.1671,$0.1716,$0.1633,$0.1714,"$42,628,567","$4,231,172,604"
Kaspa,KAS,"Sep 12, 2024",$0.167,$0.1702,$0.1662,$0.1671,"$42,116,587","$4,123,558,164"
Kaspa,KAS,"Sep 11, 2024",$0.1658,$0.1679,$0.1605,$0.167,"$55,804,830","$4,119,324,863"
Kaspa,KAS,"Sep 10, 2024",$0.16,$0.1664,$0.1581,$0.1658,"$48,747,506","$4,087,611,510"
Kaspa,KAS,"Sep 09, 2024",$0.1504,$0.1617,$0.1493,$0.16,"$44,737,651","$3,944,336,438"
Kaspa,KAS,"Sep 08, 2024",$0.1477,$0.152,$0.1464,$0.1504,"$26,019,342","$3,707,491,702"
Kaspa,KAS,"Sep 07, 2024",$0.1453,$0.1524,$0.1453,$0.1477,"$30,059,497","$3,639,446,125"
Kaspa,KAS,"Sep 06, 2024",$0.1466,$0.1492,$0.1407,$0.1453,"$79,868,490","$3,579,384,999"
Kaspa,KAS,"Sep 05, 2024",$0.1555,$0.1562,$0.1454,$0.1466,"$62,150,339","$3,610,239,558"
Kaspa,KAS,"Sep 04, 2024",$0.1552,$0.1565,$0.1487,$0.1555,"$78,982,133","$3,828,460,225"
Kaspa,KAS,"Sep 03, 2024",$0.1616,$0.1622,$0.1552,$0.1552,"$33,258,042","$3,819,465,504"
Kaspa,KAS,"Sep 02, 2024",$0.1582,$0.162,$0.1576,$0.1616,"$39,726,227","$3,975,676,733"
Kaspa,KAS,"Sep 01, 2024",$0.1633,$0.1641,$0.1581,$0.1582,"$44,671,807","$3,890,395,509"
Kaspa,KAS,"Aug 31, 2024",$0.166,$0.1679,$0.163,$0.1633,"$31,238,336","$4,013,902,291"
Kaspa,KAS,"Aug 30, 2024",$0.1655,$0.1688,$0.162,$0.166,"$66,563,876","$4,079,632,795"
Kaspa,KAS,"Aug 29, 2024",$0.1628,$0.1684,$0.1622,$0.1655,"$54,985,833","$4,065,221,250"
Kaspa,KAS,"Aug 28, 2024",$0.1615,$0.1634,$0.1583,$0.1628,"$86,247,316","$3,997,772,323"
Kaspa,KAS,"Aug 27, 2024",$0.1677,$0.1698,$0.1575,$0.1615,"$71,505,167","$3,966,084,645"
Kaspa,KAS,"Aug 26, 2024",$0.1704,$0.1714,$0.1671,$0.1677,"$57,131,402","$4,115,273,090"
Kaspa,KAS,"Aug 25, 2024",$0.1734,$0.1738,$0.1673,$0.1704,"$72,378,384","$4,181,348,038"
Kaspa,KAS,"Aug 24, 2024",$0.1672,$0.1781,$0.1662,$0.1734,"$86,926,703","$4,253,255,295"
Kaspa,KAS,"Aug 23, 2024",$0.1597,$0.1698,$0.1595,$0.1672,"$88,235,524","$4,100,778,484"
Kaspa,KAS,"Aug 22, 2024",$0.1596,$0.1619,$0.1575,$0.1597,"$64,971,876","$3,913,789,257"
Kaspa,KAS,"Aug 21, 2024",$0.161,$0.164,$0.1579,$0.1596,"$81,347,966","$3,909,966,247"
Kaspa,KAS,"Aug 20, 2024",$0.167,$0.167,$0.1595,$0.161,"$75,842,970","$3,944,107,996"
Kaspa,KAS,"Aug 19, 2024",$0.1622,$0.167,$0.1558,$0.167,"$108,585,947","$4,086,434,218"
Kaspa,KAS,"Aug 18, 2024",$0.165,$0.1671,$0.1622,$0.1622,"$47,197,372","$3,967,127,651"
Kaspa,KAS,"Aug 17, 2024",$0.1676,$0.1688,$0.1642,$0.165,"$49,296,235","$4,035,923,555"
Kaspa,KAS,"Aug 16, 2024",$0.1653,$0.1689,$0.1628,$0.1676,"$76,535,582","$4,100,277,756"
Kaspa,KAS,"Aug 15, 2024",$0.1665,$0.1689,$0.1628,$0.1653,"$91,590,421","$4,042,818,029"
Kaspa,KAS,"Aug 14, 2024",$0.1694,$0.1732,$0.1652,$0.1665,"$88,387,878","$4,069,634,549"
