Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Lido DAO,LDO,"Feb 17, 2025",$1.7842,$1.9508,$1.7842,$1.8597,"$226,871,419","$1,667,871,256"
Lido DAO,LDO,"Feb 16, 2025",$1.8120,$1.8570,$1.7667,$1.7842,"$94,325,448","$1,600,118,217"
Lido DAO,LDO,"Feb 15, 2025",$1.8588,$1.8939,$1.7919,$1.8120,"$123,063,237","$1,625,032,995"
Lido DAO,LDO,"Feb 14, 2025",$1.6825,$1.9115,$1.6805,$1.8588,"$217,832,226","$1,667,016,265"
Lido DAO,LDO,"Feb 13, 2025",$1.7332,$1.8352,$1.6485,$1.6825,"$220,770,603","$1,508,944,345"
Lido DAO,LDO,"Feb 12, 2025",$1.5873,$1.8047,$1.4765,$1.7332,"$253,149,732","$1,552,854,611"
Lido DAO,LDO,"Feb 11, 2025",$1.5800,$1.6904,$1.5555,$1.5873,"$168,462,643","$1,422,110,517"
Lido DAO,LDO,"Feb 10, 2025",$1.5023,$1.6018,$1.4587,$1.5800,"$157,922,737","$1,415,554,405"
Lido DAO,LDO,"Feb 09, 2025",$1.5290,$1.5945,$1.4191,$1.5023,"$162,745,453","$1,345,990,093"
Lido DAO,LDO,"Feb 08, 2025",$1.5566,$1.5851,$1.4701,$1.5290,"$157,125,575","$1,369,925,089"
Lido DAO,LDO,"Feb 07, 2025",$1.6752,$1.7933,$1.5186,$1.5566,"$246,816,648","$1,394,634,058"
Lido DAO,LDO,"Feb 06, 2025",$1.6939,$1.8765,$1.6580,$1.6752,"$253,015,759","$1,500,880,007"
Lido DAO,LDO,"Feb 05, 2025",$1.7112,$1.8514,$1.6670,$1.6939,"$266,751,958","$1,517,624,015"
Lido DAO,LDO,"Feb 04, 2025",$1.8629,$1.9162,$1.6306,$1.7112,"$378,098,849","$1,533,167,311"
Lido DAO,LDO,"Feb 03, 2025",$1.8983,$1.9321,$1.5348,$1.8629,"$721,458,860","$1,669,083,119"
Lido DAO,LDO,"Feb 02, 2025",$2.0432,$2.0927,$1.8171,$1.8983,"$391,733,189","$1,700,979,005"
Lido DAO,LDO,"Feb 01, 2025",$2.3015,$2.3417,$2.0392,$2.0432,"$227,423,261","$1,830,843,075"
Lido DAO,LDO,"Jan 31, 2025",$2.0954,$2.4244,$2.0428,$2.3016,"$412,765,974","$2,062,312,943"
Lido DAO,LDO,"Jan 30, 2025",$1.8971,$2.1804,$1.8637,$2.0954,"$233,595,915","$1,877,582,498"
Lido DAO,LDO,"Jan 29, 2025",$1.7830,$1.9952,$1.7671,$1.8971,"$169,866,938","$1,699,849,980"
Lido DAO,LDO,"Jan 28, 2025",$1.9136,$1.9700,$1.7563,$1.7830,"$162,719,107","$1,597,627,025"
Lido DAO,LDO,"Jan 27, 2025",$2.0852,$2.1082,$1.8327,$1.9136,"$306,975,775","$1,714,709,010"
Lido DAO,LDO,"Jan 26, 2025",$1.9922,$2.2203,$1.9857,$2.0852,"$251,226,731","$1,868,462,280"
Lido DAO,LDO,"Jan 25, 2025",$1.9976,$2.0269,$1.9214,$1.9920,"$143,349,269","$1,784,967,165"
Lido DAO,LDO,"Jan 24, 2025",$1.8203,$2.1095,$1.7946,$1.9974,"$302,223,410","$1,789,759,194"
Lido DAO,LDO,"Jan 23, 2025",$1.8488,$1.8572,$1.7159,$1.8203,"$177,310,703","$1,631,066,340"
Lido DAO,LDO,"Jan 22, 2025",$1.9041,$1.9813,$1.8398,$1.8489,"$226,120,265","$1,656,670,627"
Lido DAO,LDO,"Jan 21, 2025",$1.8207,$1.9945,$1.7228,$1.9041,"$280,331,177","$1,706,182,768"
Lido DAO,LDO,"Jan 20, 2025",$1.6210,$1.9145,$1.5686,$1.8207,"$477,475,867","$1,631,390,513"
Lido DAO,LDO,"Jan 19, 2025",$1.7714,$1.8260,$1.5889,$1.6210,"$299,770,755","$1,452,487,813"
Lido DAO,LDO,"Jan 18, 2025",$1.9985,$2.0200,$1.7202,$1.7714,"$168,598,031","$1,587,251,283"
Lido DAO,LDO,"Jan 17, 2025",$1.9654,$2.0290,$1.9596,$1.9985,"$132,849,121","$1,790,770,772"
Lido DAO,LDO,"Jan 16, 2025",$2.0815,$2.1283,$1.9409,$1.9654,"$208,973,118","$1,761,099,010"
Lido DAO,LDO,"Jan 15, 2025",$1.8463,$2.0964,$1.7856,$2.0814,"$194,128,778","$1,865,091,129"
Lido DAO,LDO,"Jan 14, 2025",$1.6200,$1.8835,$1.6121,$1.8463,"$163,369,849","$1,654,370,505"
Lido DAO,LDO,"Jan 13, 2025",$1.5628,$1.6480,$1.4175,$1.6200,"$186,143,716","$1,451,639,621"
Lido DAO,LDO,"Jan 12, 2025",$1.5919,$1.6029,$1.5388,$1.5628,"$97,091,293","$1,400,307,522"
Lido DAO,LDO,"Jan 11, 2025",$1.6251,$1.6330,$1.5732,$1.5919,"$89,041,140","$1,426,389,440"
Lido DAO,LDO,"Jan 10, 2025",$1.5877,$1.6982,$1.5695,$1.6250,"$154,057,484","$1,456,116,683"
