Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
MANTRA,OM,"Feb 17, 2025",$7.4358,$7.5517,$7.2231,$7.2433,"$144,864,588","$7,045,917,745"
MANTRA,OM,"Feb 16, 2025",$7.5779,$7.7281,$7.2967,$7.4356,"$230,258,234","$7,231,969,850"
MANTRA,OM,"Feb 15, 2025",$7.0363,$7.9458,$6.9391,$7.5780,"$794,664,991","$7,369,446,047"
MANTRA,OM,"Feb 14, 2025",$5.7931,$7.2626,$5.4118,$7.0363,"$383,318,614","$6,841,735,848"
MANTRA,OM,"Feb 13, 2025",$5.7899,$5.9459,$5.3248,$5.7931,"$236,045,021","$5,611,282,687"
MANTRA,OM,"Feb 12, 2025",$5.8157,$5.9742,$5.6037,$5.7899,"$283,277,038","$5,628,254,296"
MANTRA,OM,"Feb 11, 2025",$6.0730,$6.1197,$5.8092,$5.8157,"$191,692,246","$5,652,557,797"
MANTRA,OM,"Feb 10, 2025",$6.1867,$6.2895,$6.0222,$6.0730,"$234,777,479","$5,901,789,748"
MANTRA,OM,"Feb 09, 2025",$5.8627,$6.1971,$5.7174,$6.1867,"$251,258,877","$6,011,430,186"
MANTRA,OM,"Feb 08, 2025",$5.9987,$6.0191,$5.7982,$5.8627,"$163,725,176","$5,695,832,155"
MANTRA,OM,"Feb 07, 2025",$5.8477,$6.4313,$5.7063,$5.9987,"$343,880,794","$5,827,069,428"
MANTRA,OM,"Feb 06, 2025",$5.7782,$5.9714,$5.5480,$5.8477,"$292,354,929","$5,679,661,006"
MANTRA,OM,"Feb 05, 2025",$5.7984,$5.9893,$5.6560,$5.7782,"$200,091,078","$5,611,401,519"
MANTRA,OM,"Feb 04, 2025",$6.0517,$6.2234,$5.6939,$5.7984,"$351,999,092","$5,630,200,594"
MANTRA,OM,"Feb 03, 2025",$4.9217,$6.1751,$4.4673,$6.0517,"$650,325,481","$5,875,289,820"
MANTRA,OM,"Feb 02, 2025",$5.2304,$5.2965,$4.8376,$4.9217,"$209,276,305","$4,743,051,933"
MANTRA,OM,"Feb 01, 2025",$5.3237,$5.4627,$5.2107,$5.2304,"$165,781,083","$5,039,864,934"
MANTRA,OM,"Jan 31, 2025",$5.6323,$5.6610,$5.1826,$5.3237,"$201,380,971","$5,129,056,953"
MANTRA,OM,"Jan 30, 2025",$4.6522,$5.8713,$4.6494,$5.6323,"$515,222,387","$5,425,585,158"
MANTRA,OM,"Jan 29, 2025",$4.4874,$4.7107,$4.4302,$4.6523,"$159,763,715","$4,480,945,632"
MANTRA,OM,"Jan 28, 2025",$4.6747,$4.7920,$4.3837,$4.4874,"$191,148,436","$4,321,507,141"
MANTRA,OM,"Jan 27, 2025",$4.6977,$4.7929,$4.4621,$4.6747,"$364,762,131","$4,501,261,184"
MANTRA,OM,"Jan 26, 2025",$4.0432,$4.9980,$4.0409,$4.6977,"$535,799,303","$4,522,689,593"
MANTRA,OM,"Jan 25, 2025",$3.5039,$4.0633,$3.1959,$4.0432,"$143,281,433","$3,892,094,576"
MANTRA,OM,"Jan 24, 2025",$3.6608,$3.7363,$3.4954,$3.5039,"$55,109,644","$3,372,412,047"
MANTRA,OM,"Jan 23, 2025",$3.6921,$3.7208,$3.5383,$3.6608,"$70,682,935","$3,522,950,072"
MANTRA,OM,"Jan 22, 2025",$3.6624,$3.7373,$3.4423,$3.6924,"$74,726,398","$3,539,998,957"
MANTRA,OM,"Jan 21, 2025",$3.6091,$3.7396,$3.4707,$3.6624,"$59,642,571","$3,520,957,010"
MANTRA,OM,"Jan 20, 2025",$3.5868,$3.8746,$3.5304,$3.6091,"$128,566,219","$3,469,211,269"
MANTRA,OM,"Jan 19, 2025",$3.7788,$3.8836,$3.5567,$3.5868,"$104,145,785","$3,447,297,789"
MANTRA,OM,"Jan 18, 2025",$3.8207,$3.8569,$3.6586,$3.7788,"$77,839,877","$3,631,332,540"
MANTRA,OM,"Jan 17, 2025",$3.8331,$3.9370,$3.7830,$3.8207,"$64,672,501","$3,671,068,283"
MANTRA,OM,"Jan 16, 2025",$3.8954,$3.9840,$3.7973,$3.8331,"$59,625,431","$3,682,436,002"
MANTRA,OM,"Jan 15, 2025",$3.6875,$3.9238,$3.6778,$3.8953,"$68,986,570","$3,741,788,915"
MANTRA,OM,"Jan 14, 2025",$3.8353,$3.8353,$3.6665,$3.6875,"$49,632,143","$3,541,567,485"
MANTRA,OM,"Jan 13, 2025",$3.7657,$3.8375,$3.5748,$3.8353,"$81,560,277","$3,683,026,378"
MANTRA,OM,"Jan 12, 2025",$3.8911,$3.9841,$3.7555,$3.7657,"$38,195,027","$3,615,684,750"
MANTRA,OM,"Jan 11, 2025",$3.9912,$4.0248,$3.8569,$3.8911,"$36,100,104","$3,735,569,998"
MANTRA,OM,"Jan 10, 2025",$3.8472,$4.1351,$3.8425,$3.9912,"$117,309,555","$3,831,147,874"
MANTRA,OM,"Jan 09, 2025",$4.0282,$4.0291,$3.6931,$3.8473,"$102,048,874","$3,692,406,558"
MANTRA,OM,"Jan 08, 2025",$3.8631,$4.0403,$3.8027,$4.0282,"$86,318,888","$3,865,506,845"
MANTRA,OM,"Jan 07, 2025",$4.0940,$4.0979,$3.8293,$3.8631,"$58,347,328","$3,706,584,263"
MANTRA,OM,"Jan 06, 2025",$3.9156,$4.0955,$3.8819,$4.0940,"$50,453,412","$3,927,545,132"
MANTRA,OM,"Jan 05, 2025",$3.9738,$4.0106,$3.8691,$3.9156,"$39,682,663","$3,755,900,441"
MANTRA,OM,"Jan 04, 2025",$3.9373,$4.0052,$3.8434,$3.9738,"$45,506,758","$3,811,199,965"
MANTRA,OM,"Jan 03, 2025",$3.8833,$3.9935,$3.7780,$3.9373,"$43,133,363","$3,775,687,097"
MANTRA,OM,"Jan 02, 2025",$3.7840,$3.9449,$3.7502,$3.8833,"$47,540,446","$3,723,390,349"
MANTRA,OM,"Jan 01, 2025",$3.8233,$3.8775,$3.7503,$3.7840,"$32,929,460","$3,627,587,031"
MANTRA,OM,"Dec 31, 2024",$3.4442,$3.9283,$3.4440,$3.8233,"$71,115,673","$3,664,688,999"
MANTRA,OM,"Dec 30, 2024",$3.6557,$3.7034,$3.3939,$3.4442,"$51,454,560","$3,280,388,323"
MANTRA,OM,"Dec 29, 2024",$3.6816,$3.8291,$3.6174,$3.6557,"$38,877,798","$3,480,527,105"
MANTRA,OM,"Dec 28, 2024",$3.6742,$3.7818,$3.6564,$3.6816,"$27,836,709","$3,502,380,177"
