Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
NEAR Protocol,NEAR,"Feb 17, 2025",$3.4191,$3.4931,$3.2288,$3.2573,"$198,567,769","$3,860,116,351"
NEAR Protocol,NEAR,"Feb 16, 2025",$3.4058,$3.5452,$3.3650,$3.4191,"$136,715,965","$4,051,085,593"
NEAR Protocol,NEAR,"Feb 15, 2025",$3.5503,$3.6006,$3.3824,$3.4058,"$139,906,426","$4,034,482,785"
NEAR Protocol,NEAR,"Feb 14, 2025",$3.3747,$3.6243,$3.3440,$3.5503,"$209,976,420","$4,204,862,431"
NEAR Protocol,NEAR,"Feb 13, 2025",$3.4270,$3.4424,$3.2615,$3.3747,"$173,314,982","$3,996,074,439"
NEAR Protocol,NEAR,"Feb 12, 2025",$3.2023,$3.4602,$3.1334,$3.4270,"$269,828,215","$4,057,571,171"
NEAR Protocol,NEAR,"Feb 11, 2025",$3.2043,$3.3849,$3.1365,$3.2023,"$193,429,924","$3,790,819,708"
NEAR Protocol,NEAR,"Feb 10, 2025",$3.1885,$3.3004,$3.0718,$3.2043,"$210,978,015","$3,778,697,929"
NEAR Protocol,NEAR,"Feb 09, 2025",$3.2874,$3.4717,$3.0472,$3.1885,"$189,549,333","$3,759,545,081"
NEAR Protocol,NEAR,"Feb 08, 2025",$3.2034,$3.3127,$3.1619,$3.2874,"$163,011,007","$3,875,394,522"
NEAR Protocol,NEAR,"Feb 07, 2025",$3.1475,$3.4073,$3.1124,$3.2034,"$177,518,411","$3,775,648,163"
NEAR Protocol,NEAR,"Feb 06, 2025",$3.2798,$3.3759,$3.1286,$3.1475,"$206,449,166","$3,708,944,073"
NEAR Protocol,NEAR,"Feb 05, 2025",$3.4034,$3.4770,$3.2424,$3.2798,"$179,344,493","$3,863,896,129"
NEAR Protocol,NEAR,"Feb 04, 2025",$3.7779,$3.7969,$3.2806,$3.4034,"$318,979,043","$4,008,568,592"
NEAR Protocol,NEAR,"Feb 03, 2025",$3.7526,$3.7927,$2.8822,$3.7779,"$871,897,691","$4,449,172,580"
NEAR Protocol,NEAR,"Feb 02, 2025",$4.2709,$4.3346,$3.5810,$3.7526,"$390,013,412","$4,418,471,849"
NEAR Protocol,NEAR,"Feb 01, 2025",$4.6176,$4.6802,$4.2308,$4.2710,"$157,290,616","$5,027,933,388"
NEAR Protocol,NEAR,"Jan 31, 2025",$4.6060,$4.8373,$4.5366,$4.6176,"$192,398,545","$5,434,838,740"
NEAR Protocol,NEAR,"Jan 30, 2025",$4.4134,$4.6699,$4.3836,$4.6060,"$167,453,196","$5,420,560,035"
NEAR Protocol,NEAR,"Jan 29, 2025",$4.2891,$4.5710,$4.2718,$4.4133,"$209,205,659","$5,192,723,045"
NEAR Protocol,NEAR,"Jan 28, 2025",$4.6332,$4.6809,$4.2576,$4.2891,"$174,324,418","$5,049,524,082"
NEAR Protocol,NEAR,"Jan 27, 2025",$4.7633,$4.7691,$4.3806,$4.6332,"$365,428,568","$5,454,127,822"
NEAR Protocol,NEAR,"Jan 26, 2025",$4.9268,$5.1368,$4.7631,$4.7633,"$176,587,899","$5,605,548,602"
NEAR Protocol,NEAR,"Jan 25, 2025",$4.9936,$5.0222,$4.8700,$4.9267,"$149,369,030","$5,797,165,848"
NEAR Protocol,NEAR,"Jan 24, 2025",$4.9850,$5.1705,$4.8597,$4.9936,"$265,972,499","$5,874,674,054"
NEAR Protocol,NEAR,"Jan 23, 2025",$5.0906,$5.1122,$4.8659,$4.9849,"$297,195,832","$5,865,382,904"
NEAR Protocol,NEAR,"Jan 22, 2025",$5.2484,$5.2816,$5.0836,$5.0907,"$221,781,650","$5,988,535,184"
NEAR Protocol,NEAR,"Jan 21, 2025",$5.0976,$5.3431,$4.8860,$5.2484,"$332,464,902","$6,173,421,807"
NEAR Protocol,NEAR,"Jan 20, 2025",$4.9699,$5.5864,$4.7650,$5.0976,"$731,455,971","$5,994,847,487"
NEAR Protocol,NEAR,"Jan 19, 2025",$5.4451,$5.6438,$4.9212,$4.9697,"$543,892,357","$5,843,355,914"
NEAR Protocol,NEAR,"Jan 18, 2025",$5.7543,$5.8805,$5.3090,$5.4451,"$322,577,300","$6,401,106,178"
NEAR Protocol,NEAR,"Jan 17, 2025",$5.1597,$5.7929,$5.1593,$5.7543,"$317,616,382","$6,763,891,324"
NEAR Protocol,NEAR,"Jan 16, 2025",$5.3125,$5.3423,$5.0993,$5.1597,"$280,936,505","$6,063,664,372"
NEAR Protocol,NEAR,"Jan 15, 2025",$5.0470,$5.3341,$4.8657,$5.3124,"$290,759,795","$6,242,100,888"
NEAR Protocol,NEAR,"Jan 14, 2025",$4.7546,$5.0528,$4.7098,$5.0470,"$196,170,556","$5,928,941,346"
NEAR Protocol,NEAR,"Jan 13, 2025",$4.9700,$5.0845,$4.4486,$4.7546,"$386,489,635","$5,584,371,502"
NEAR Protocol,NEAR,"Jan 12, 2025",$5.0830,$5.1202,$4.9106,$4.9700,"$162,980,618","$5,836,606,225"
NEAR Protocol,NEAR,"Jan 11, 2025",$5.0852,$5.1577,$4.9970,$5.0830,"$173,120,612","$5,946,372,479"
NEAR Protocol,NEAR,"Jan 10, 2025",$4.9756,$5.1442,$4.9113,$5.0852,"$303,206,598","$5,947,737,527"
NEAR Protocol,NEAR,"Jan 09, 2025",$5.1570,$5.2133,$4.8504,$4.9756,"$326,750,282","$5,818,368,222"
NEAR Protocol,NEAR,"Jan 08, 2025",$5.3684,$5.4433,$4.8925,$5.1570,"$414,099,203","$6,029,817,499"
NEAR Protocol,NEAR,"Jan 07, 2025",$6.0170,$6.0226,$5.3550,$5.3684,"$397,616,708","$6,275,710,522"
NEAR Protocol,NEAR,"Jan 06, 2025",$5.9040,$6.2144,$5.7875,$6.0170,"$362,476,201","$7,032,504,681"
NEAR Protocol,NEAR,"Jan 05, 2025",$5.7923,$5.9781,$5.6293,$5.9040,"$242,992,219","$6,899,097,002"
