Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Nexo,NEXO,"Feb 18, 2025",$1.3418,$1.3448,$1.3106,$1.3329,"$9,646,793","$861,237,782"
Nexo,NEXO,"Feb 17, 2025",$1.3459,$1.3589,$1.3252,$1.3418,"$10,572,412","$867,003,147"
Nexo,NEXO,"Feb 16, 2025",$1.3672,$1.3720,$1.3433,$1.3459,"$8,010,205","$869,638,132"
Nexo,NEXO,"Feb 15, 2025",$1.3695,$1.3767,$1.3514,$1.3672,"$8,352,267","$883,402,120"
Nexo,NEXO,"Feb 14, 2025",$1.3269,$1.4037,$1.3237,$1.3695,"$11,805,168","$884,898,236"
Nexo,NEXO,"Feb 13, 2025",$1.3582,$1.3582,$1.3073,$1.3269,"$9,352,890","$857,367,416"
Nexo,NEXO,"Feb 12, 2025",$1.3094,$1.3686,$1.2843,$1.3582,"$10,103,296","$877,623,713"
Nexo,NEXO,"Feb 11, 2025",$1.3306,$1.3515,$1.2998,$1.3094,"$9,363,357","$846,075,338"
Nexo,NEXO,"Feb 10, 2025",$1.3125,$1.3431,$1.2821,$1.3306,"$10,674,519","$859,742,168"
Nexo,NEXO,"Feb 09, 2025",$1.3205,$1.3301,$1.2891,$1.3125,"$8,714,377","$848,056,915"
Nexo,NEXO,"Feb 08, 2025",$1.3317,$1.3332,$1.3046,$1.3205,"$8,601,640","$853,245,031"
Nexo,NEXO,"Feb 07, 2025",$1.3292,$1.3471,$1.2990,$1.3317,"$10,912,260","$860,460,462"
Nexo,NEXO,"Feb 06, 2025",$1.3615,$1.3860,$1.3155,$1.3292,"$11,866,975","$858,836,570"
Nexo,NEXO,"Feb 05, 2025",$1.4049,$1.4128,$1.3293,$1.3615,"$14,291,334","$879,717,176"
Nexo,NEXO,"Feb 04, 2025",$1.4221,$1.4394,$1.3280,$1.4049,"$20,669,298","$907,777,978"
Nexo,NEXO,"Feb 03, 2025",$1.3262,$1.4273,$1.1904,$1.4221,"$45,210,410","$918,857,743"
Nexo,NEXO,"Feb 02, 2025",$1.3904,$1.4041,$1.3060,$1.3262,"$15,759,224","$856,905,211"
Nexo,NEXO,"Feb 01, 2025",$1.4416,$1.4553,$1.3779,$1.3904,"$9,949,989","$898,393,025"
Nexo,NEXO,"Jan 31, 2025",$1.4700,$1.4881,$1.4280,$1.4416,"$10,598,575","$931,463,615"
Nexo,NEXO,"Jan 30, 2025",$1.4316,$1.4901,$1.4248,$1.4700,"$10,915,836","$949,815,468"
Nexo,NEXO,"Jan 29, 2025",$1.3988,$1.4516,$1.3958,$1.4315,"$12,032,369","$925,001,467"
