Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Pyth Network,PYTH,"Feb 18, 2025",$0.2086,$0.2223,$0.1964,$0.2115,"$123,164,688","$766,681,515"
Pyth Network,PYTH,"Feb 17, 2025",$0.2102,$0.2196,$0.2036,$0.2086,"$39,855,457","$756,012,303"
Pyth Network,PYTH,"Feb 16, 2025",$0.214,$0.2177,$0.2062,$0.2102,"$35,325,721","$762,091,373"
Pyth Network,PYTH,"Feb 15, 2025",$0.2323,$0.2328,$0.2113,$0.214,"$55,600,931","$775,898,834"
Pyth Network,PYTH,"Feb 14, 2025",$0.2042,$0.2366,$0.204,$0.2323,"$98,609,615","$841,981,325"
Pyth Network,PYTH,"Feb 13, 2025",$0.2125,$0.2151,$0.2011,$0.2042,"$33,099,416","$740,242,659"
Pyth Network,PYTH,"Feb 12, 2025",$0.2003,$0.2161,$0.194,$0.2125,"$39,887,212","$770,180,939"
Pyth Network,PYTH,"Feb 11, 2025",$0.2002,$0.2154,$0.1965,$0.2003,"$34,891,669","$726,157,363"
Pyth Network,PYTH,"Feb 10, 2025",$0.1952,$0.2041,$0.1884,$0.2002,"$34,105,225","$725,843,018"
Pyth Network,PYTH,"Feb 09, 2025",$0.1898,$0.2014,$0.1857,$0.1952,"$38,676,005","$707,771,853"
Pyth Network,PYTH,"Feb 08, 2025",$0.1772,$0.1911,$0.1741,$0.1898,"$27,524,115","$688,169,344"
Pyth Network,PYTH,"Feb 07, 2025",$0.1824,$0.1937,$0.1718,$0.1772,"$48,104,088","$642,397,880"
Pyth Network,PYTH,"Feb 06, 2025",$0.1976,$0.2029,$0.1811,$0.1824,"$44,319,890","$661,305,755"
Pyth Network,PYTH,"Feb 05, 2025",$0.2049,$0.2097,$0.195,$0.1976,"$43,074,584","$716,125,848"
Pyth Network,PYTH,"Feb 04, 2025",$0.2246,$0.2274,$0.1966,$0.2049,"$72,171,775","$742,935,209"
Pyth Network,PYTH,"Feb 03, 2025",$0.223,$0.2271,$0.1739,$0.2246,"$174,261,822","$814,112,424"
Pyth Network,PYTH,"Feb 02, 2025",$0.2574,$0.2606,$0.2174,$0.223,"$89,373,097","$808,306,369"
Pyth Network,PYTH,"Feb 01, 2025",$0.2852,$0.2891,$0.2552,$0.2574,"$33,835,207","$933,135,531"
Pyth Network,PYTH,"Jan 31, 2025",$0.2866,$0.2973,$0.2825,$0.2852,"$32,524,367","$1,033,925,604"
Pyth Network,PYTH,"Jan 30, 2025",$0.2748,$0.2916,$0.2715,$0.2866,"$31,741,735","$1,038,873,355"
Pyth Network,PYTH,"Jan 29, 2025",$0.2683,$0.2847,$0.2644,$0.2748,"$47,260,087","$996,022,994"
Pyth Network,PYTH,"Jan 28, 2025",$0.29,$0.2943,$0.2659,$0.2683,"$37,137,272","$972,507,596"
Pyth Network,PYTH,"Jan 27, 2025",$0.3045,$0.305,$0.273,$0.29,"$81,818,329","$1,051,228,195"
Pyth Network,PYTH,"Jan 26, 2025",$0.3169,$0.325,$0.3045,$0.3045,"$46,458,316","$1,103,645,091"
