Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Render,RENDER,"Feb 17, 2025",$4.4760,$4.6714,$4.2846,$4.3778,"$67,537,993","$2,266,481,597"
Render,RENDER,"Feb 16, 2025",$4.5749,$4.6011,$4.4605,$4.4761,"$47,018,756","$2,317,367,694"
Render,RENDER,"Feb 15, 2025",$4.7331,$4.8258,$4.5180,$4.5749,"$46,895,300","$2,368,512,290"
Render,RENDER,"Feb 14, 2025",$4.5031,$4.8264,$4.5000,$4.7331,"$73,292,136","$2,450,395,118"
Render,RENDER,"Feb 13, 2025",$4.6320,$4.7238,$4.3693,$4.5032,"$60,492,092","$2,331,351,149"
Render,RENDER,"Feb 12, 2025",$4.4548,$4.7200,$4.2383,$4.6320,"$93,887,906","$2,398,073,598"
Render,RENDER,"Feb 11, 2025",$4.4539,$4.7696,$4.3710,$4.4548,"$77,300,204","$2,306,315,962"
Render,RENDER,"Feb 10, 2025",$4.2501,$4.5286,$4.1056,$4.4539,"$65,336,223","$2,305,862,500"
Render,RENDER,"Feb 09, 2025",$4.2649,$4.4254,$4.0212,$4.2501,"$65,790,828","$2,200,351,467"
Render,RENDER,"Feb 08, 2025",$4.1366,$4.2925,$4.0153,$4.2649,"$53,992,028","$2,208,003,817"
Render,RENDER,"Feb 07, 2025",$4.1944,$4.5530,$3.9970,$4.1366,"$92,370,617","$2,141,608,472"
Render,RENDER,"Feb 06, 2025",$4.4635,$4.6360,$4.1555,$4.1944,"$93,006,645","$2,171,529,753"
Render,RENDER,"Feb 05, 2025",$4.6265,$4.7483,$4.4178,$4.4633,"$78,531,079","$2,310,726,961"
Render,RENDER,"Feb 04, 2025",$5.0507,$5.0713,$4.4677,$4.6265,"$153,529,851","$2,395,239,300"
Render,RENDER,"Feb 03, 2025",$4.6846,$5.2156,$3.5259,$5.0507,"$366,683,182","$2,614,830,982"
Render,RENDER,"Feb 02, 2025",$5.3965,$5.4873,$4.4905,$4.6836,"$180,328,168","$2,424,780,668"
Render,RENDER,"Feb 01, 2025",$5.8475,$6.0221,$5.3362,$5.3967,"$83,960,843","$2,793,981,250"
Render,RENDER,"Jan 31, 2025",$5.8780,$6.1867,$5.7631,$5.8476,"$89,334,707","$3,027,403,485"
Render,RENDER,"Jan 30, 2025",$5.4814,$6.0329,$5.4249,$5.8785,"$97,364,643","$3,043,603,168"
Render,RENDER,"Jan 29, 2025",$5.5479,$5.9578,$5.3178,$5.4812,"$145,859,022","$2,837,812,849"
Render,RENDER,"Jan 28, 2025",$6.2165,$6.3177,$5.4657,$5.5479,"$113,230,928","$2,872,225,221"
Render,RENDER,"Jan 27, 2025",$6.7433,$6.7644,$5.8225,$6.2161,"$190,166,346","$3,218,172,989"
Render,RENDER,"Jan 26, 2025",$6.9649,$7.1614,$6.7405,$6.7433,"$65,670,983","$3,490,968,375"
Render,RENDER,"Jan 25, 2025",$6.8793,$7.0376,$6.7308,$6.9649,"$56,480,268","$3,605,711,801"
Render,RENDER,"Jan 24, 2025",$7.0558,$7.2545,$6.7931,$6.8792,"$83,790,773","$3,561,343,587"
Render,RENDER,"Jan 23, 2025",$7.0339,$7.0894,$6.7407,$7.0559,"$114,205,483","$3,652,935,760"
Render,RENDER,"Jan 22, 2025",$7.2376,$7.2949,$7.0249,$7.0341,"$100,277,292","$3,641,360,474"
Render,RENDER,"Jan 21, 2025",$6.7342,$7.3601,$6.4521,$7.2376,"$143,721,192","$3,746,890,080"
Render,RENDER,"Jan 20, 2025",$6.6766,$7.4290,$6.4739,$6.7342,"$253,579,278","$3,486,298,877"
Render,RENDER,"Jan 19, 2025",$7.4745,$7.6224,$6.5813,$6.6771,"$713,828,547","$3,456,449,617"
Render,RENDER,"Jan 18, 2025",$7.9692,$8.1203,$7.3125,$7.4745,"$603,817,338","$3,869,545,103"
Render,RENDER,"Jan 17, 2025",$7.4866,$8.0389,$7.4609,$7.9918,"$467,180,813","$4,134,783,498"
Render,RENDER,"Jan 16, 2025",$7.6692,$7.6854,$7.2873,$7.4337,"$496,403,281","$3,848,430,963"
Render,RENDER,"Jan 15, 2025",$7.0218,$7.6690,$6.7707,$7.6687,"$469,696,165","$3,970,345,178"
Render,RENDER,"Jan 14, 2025",$6.9701,$7.2690,$6.8854,$7.0218,"$345,784,148","$3,635,168,135"
Render,RENDER,"Jan 13, 2025",$7.1164,$7.3040,$6.4006,$6.9699,"$539,498,804","$3,608,325,945"
Render,RENDER,"Jan 12, 2025",$7.3467,$7.3692,$7.0174,$7.1164,"$238,868,669","$3,684,133,245"
Render,RENDER,"Jan 11, 2025",$7.2913,$7.5239,$7.0779,$7.3467,"$304,941,747","$3,803,379,376"
Render,RENDER,"Jan 10, 2025",$7.0281,$7.6553,$7.0281,$7.2913,"$706,613,767","$3,774,707,568"
Render,RENDER,"Jan 09, 2025",$7.5677,$7.6279,$6.9126,$7.0281,"$587,754,940","$3,638,439,439"
Render,RENDER,"Jan 08, 2025",$8.1214,$8.2404,$7.1556,$7.5677,"$763,389,854","$3,917,775,745"
