Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Stacks,STX,"Feb 17, 2025",$0.9306,$0.9612,$0.9017,$0.9219,"$36,661,945","$1,395,383,534"
Stacks,STX,"Feb 16, 2025",$0.9333,$0.959,$0.9192,$0.9306,"$30,394,342","$1,408,390,884"
Stacks,STX,"Feb 15, 2025",$0.986,$0.9909,$0.9259,$0.9333,"$39,425,258","$1,412,403,185"
Stacks,STX,"Feb 14, 2025",$0.9563,$1.0129,$0.9508,$0.986,"$37,222,630","$1,492,003,281"
Stacks,STX,"Feb 13, 2025",$0.9833,$1.0064,$0.9389,$0.9563,"$45,489,157","$1,446,906,421"
Stacks,STX,"Feb 12, 2025",$0.9342,$1.0032,$0.9002,$0.9833,"$52,300,717","$1,487,644,650"
Stacks,STX,"Feb 11, 2025",$0.9663,$1.0114,$0.9215,$0.9342,"$55,026,784","$1,413,142,659"
Stacks,STX,"Feb 10, 2025",$0.9021,$0.995,$0.8758,$0.9663,"$79,261,300","$1,461,615,506"
Stacks,STX,"Feb 09, 2025",$0.9125,$0.9278,$0.8605,$0.9021,"$102,375,804","$1,364,413,775"
Stacks,STX,"Feb 08, 2025",$0.8704,$0.918,$0.8485,$0.9125,"$50,918,730","$1,380,073,099"
Stacks,STX,"Feb 07, 2025",$0.8983,$0.9546,$0.8487,$0.8704,"$62,564,416","$1,316,210,116"
Stacks,STX,"Feb 06, 2025",$0.972,$0.992,$0.8922,$0.8983,"$64,109,432","$1,358,336,987"
Stacks,STX,"Feb 05, 2025",$1.0142,$1.0311,$0.9639,$0.972,"$53,199,746","$1,469,512,396"
Stacks,STX,"Feb 04, 2025",$1.0523,$1.0812,$0.9751,$1.0142,"$120,962,181","$1,533,268,187"
Stacks,STX,"Feb 03, 2025",$1.0355,$1.0599,$0.7976,$1.0523,"$224,787,788","$1,590,656,199"
Stacks,STX,"Feb 02, 2025",$1.2199,$1.2404,$0.9939,$1.0355,"$135,204,867","$1,565,088,588"
Stacks,STX,"Feb 01, 2025",$1.3308,$1.3435,$1.2089,$1.2199,"$44,497,644","$1,843,649,580"
Stacks,STX,"Jan 31, 2025",$1.3187,$1.3833,$1.3080,$1.3308,"$86,710,161","$2,011,030,452"
Stacks,STX,"Jan 30, 2025",$1.2472,$1.3577,$1.2412,$1.3187,"$53,218,042","$1,992,604,892"
Stacks,STX,"Jan 29, 2025",$1.2295,$1.2910,$1.2193,$1.2472,"$44,433,224","$1,884,369,879"
Stacks,STX,"Jan 28, 2025",$1.2810,$1.3032,$1.2178,$1.2295,"$47,692,306","$1,857,429,954"
Stacks,STX,"Jan 27, 2025",$1.3326,$1.3330,$1.2049,$1.2810,"$110,491,889","$1,935,099,715"
Stacks,STX,"Jan 26, 2025",$1.3896,$1.4163,$1.3298,$1.3326,"$37,039,061","$2,012,944,571"
Stacks,STX,"Jan 25, 2025",$1.3697,$1.4056,$1.3548,$1.3895,"$38,787,516","$2,098,658,119"
Stacks,STX,"Jan 24, 2025",$1.3995,$1.4384,$1.3523,$1.3697,"$67,813,164","$2,068,543,564"
Stacks,STX,"Jan 23, 2025",$1.4092,$1.4365,$1.3512,$1.3998,"$84,112,295","$2,113,468,807"
Stacks,STX,"Jan 22, 2025",$1.4832,$1.4889,$1.4053,$1.4092,"$53,162,004","$2,127,811,637"
Stacks,STX,"Jan 21, 2025",$1.4163,$1.5170,$1.3583,$1.4832,"$90,432,901","$2,239,429,159"
Stacks,STX,"Jan 20, 2025",$1.4061,$1.5539,$1.3583,$1.4163,"$162,428,244","$2,138,260,750"
Stacks,STX,"Jan 19, 2025",$1.5747,$1.6032,$1.3856,$1.4061,"$143,181,927","$2,122,638,725"
Stacks,STX,"Jan 18, 2025",$1.6808,$1.7232,$1.5392,$1.5747,"$112,591,501","$2,376,880,506"
Stacks,STX,"Jan 17, 2025",$1.5555,$1.6843,$1.5555,$1.6808,"$110,586,258","$2,536,837,683"
Stacks,STX,"Jan 16, 2025",$1.6122,$1.6148,$1.5303,$1.5555,"$73,210,761","$2,347,537,477"
Stacks,STX,"Jan 15, 2025",$1.5003,$1.6121,$1.4716,$1.6121,"$70,936,161","$2,432,834,172"
Stacks,STX,"Jan 14, 2025",$1.4529,$1.5127,$1.4422,$1.5003,"$62,038,913","$2,263,854,662"
Stacks,STX,"Jan 13, 2025",$1.5116,$1.5411,$1.3576,$1.4528,"$124,040,092","$2,191,895,137"
Stacks,STX,"Jan 12, 2025",$1.5325,$1.5419,$1.4978,$1.5116,"$69,524,310","$2,280,442,028"
Stacks,STX,"Jan 11, 2025",$1.5392,$1.5542,$1.5058,$1.5325,"$73,356,902","$2,311,809,569"
Stacks,STX,"Jan 10, 2025",$1.4998,$1.5575,$1.4893,$1.5392,"$113,025,977","$2,321,718,198"
Stacks,STX,"Jan 09, 2025",$1.5435,$1.5571,$1.4663,$1.4998,"$121,767,256","$2,262,137,746"
Stacks,STX,"Jan 08, 2025",$1.6012,$1.6170,$1.4654,$1.5435,"$164,118,337","$2,327,718,100"
Stacks,STX,"Jan 07, 2025",$1.8284,$1.8286,$1.6009,$1.6012,"$179,850,044","$2,414,602,390"
Stacks,STX,"Jan 06, 2025",$1.7659,$1.8716,$1.7183,$1.8284,"$172,685,460","$2,756,956,664"
Stacks,STX,"Jan 05, 2025",$1.7318,$1.7797,$1.6988,$1.7659,"$126,691,297","$2,662,616,265"
Stacks,STX,"Jan 04, 2025",$1.7344,$1.7468,$1.7000,$1.7318,"$100,262,900","$2,610,914,207"
Stacks,STX,"Jan 03, 2025",$1.6527,$1.7448,$1.6175,$1.7344,"$142,748,235","$2,614,618,768"
Stacks,STX,"Jan 02, 2025",$1.6113,$1.6717,$1.5991,$1.6527,"$146,740,075","$2,491,268,318"
Stacks,STX,"Jan 01, 2025",$1.5330,$1.6344,$1.4912,$1.6113,"$140,105,811","$2,428,562,250"
Stacks,STX,"Dec 31, 2024",$1.4874,$1.6082,$1.4394,$1.5330,"$227,692,050","$2,310,418,042"
Stacks,STX,"Dec 30, 2024",$1.5704,$1.5938,$1.4745,$1.4874,"$183,984,670","$2,241,415,235"
Stacks,STX,"Dec 29, 2024",$1.6563,$1.6563,$1.5549,$1.5704,"$90,751,623","$2,366,290,373"
Stacks,STX,"Dec 28, 2024",$1.5672,$1.6583,$1.5587,$1.6563,"$96,022,756","$2,495,555,921"
Stacks,STX,"Dec 27, 2024",$1.5798,$1.6457,$1.5567,$1.5671,"$118,303,136","$2,360,996,036"
Stacks,STX,"Dec 26, 2024",$1.6813,$1.6962,$1.5547,$1.5798,"$123,975,980","$2,379,754,153"
Stacks,STX,"Dec 25, 2024",$1.7673,$1.7676,$1.6645,$1.6813,"$132,774,731","$2,532,581,266"
Stacks,STX,"Dec 24, 2024",$1.7009,$1.7814,$1.6462,$1.7673,"$151,986,520","$2,661,853,324"
Stacks,STX,"Dec 23, 2024",$1.6348,$1.7250,$1.5838,$1.7010,"$190,144,412","$2,561,668,408"
Stacks,STX,"Dec 22, 2024",$1.6529,$1.6972,$1.5952,$1.6348,"$164,927,169","$2,461,788,035"
Stacks,STX,"Dec 21, 2024",$1.8024,$1.8870,$1.6379,$1.6529,"$241,111,862","$2,488,909,412"
Stacks,STX,"Dec 20, 2024",$1.7953,$1.8346,$1.5581,$1.8024,"$406,710,134","$2,713,765,485"
Stacks,STX,"Dec 19, 2024",$2.0091,$2.0325,$1.7411,$1.7953,"$405,946,006","$2,702,825,137"
