Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
polygon-ecosystem-token,POL,"Feb 17, 2025",$0.3261,$0.3343,$0.3134,$0.3196,"$136,692,533","$2,736,996,306"
polygon-ecosystem-token,POL,"Feb 16, 2025",$0.3178,$0.3318,$0.3151,$0.3262,"$104,756,932","$2,792,945,703"
polygon-ecosystem-token,POL,"Feb 15, 2025",$0.3232,$0.3275,$0.3155,$0.3178,"$91,443,334","$2,721,651,119"
polygon-ecosystem-token,POL,"Feb 14, 2025",$0.3173,$0.3296,$0.3162,$0.3232,"$119,029,893","$2,767,628,366"
polygon-ecosystem-token,POL,"Feb 13, 2025",$0.3289,$0.3313,$0.3119,$0.3173,"$125,117,627","$2,716,968,467"
polygon-ecosystem-token,POL,"Feb 12, 2025",$0.3073,$0.3323,$0.3009,$0.3289,"$131,165,652","$2,815,975,099"
polygon-ecosystem-token,POL,"Feb 11, 2025",$0.313,$0.3292,$0.3043,$0.3073,"$118,429,663","$2,630,055,110"
polygon-ecosystem-token,POL,"Feb 10, 2025",$0.3044,$0.3131,$0.2948,$0.313,"$108,950,489","$2,676,953,791"
polygon-ecosystem-token,POL,"Feb 09, 2025",$0.3088,$0.3171,$0.2927,$0.3044,"$113,926,732","$2,603,388,906"
polygon-ecosystem-token,POL,"Feb 08, 2025",$0.2985,$0.31,$0.2968,$0.3088,"$101,286,795","$2,640,538,520"
polygon-ecosystem-token,POL,"Feb 07, 2025",$0.297,$0.3194,$0.2904,$0.2985,"$145,057,914","$2,552,456,806"
polygon-ecosystem-token,POL,"Feb 06, 2025",$0.3113,$0.3205,$0.2948,$0.297,"$130,854,949","$2,533,810,432"
polygon-ecosystem-token,POL,"Feb 05, 2025",$0.3135,$0.3243,$0.3075,$0.3113,"$128,709,507","$2,655,997,448"
polygon-ecosystem-token,POL,"Feb 04, 2025",$0.3416,$0.3434,$0.3028,$0.3135,"$178,838,508","$2,691,237,194"
polygon-ecosystem-token,POL,"Feb 03, 2025",$0.3334,$0.3455,$0.2544,$0.3416,"$435,643,374","$2,934,290,879"
polygon-ecosystem-token,POL,"Feb 02, 2025",$0.3748,$0.3857,$0.3223,$0.3334,"$254,418,306","$2,860,008,897"
polygon-ecosystem-token,POL,"Feb 01, 2025",$0.4074,$0.4136,$0.3729,$0.3748,"$123,604,314","$3,215,239,390"
polygon-ecosystem-token,POL,"Jan 31, 2025",$0.4117,$0.4233,$0.4028,$0.4074,"$130,298,707","$3,492,008,112"
polygon-ecosystem-token,POL,"Jan 30, 2025",$0.3946,$0.4206,$0.3926,$0.4117,"$128,863,990","$3,528,888,278"
polygon-ecosystem-token,POL,"Jan 29, 2025",$0.3907,$0.4053,$0.3839,$0.3946,"$145,565,406","$3,380,473,723"
polygon-ecosystem-token,POL,"Jan 28, 2025",$0.4147,$0.4186,$0.387,$0.3907,"$147,278,132","$3,320,680,726"
polygon-ecosystem-token,POL,"Jan 27, 2025",$0.4345,$0.439,$0.3916,$0.4147,"$287,267,768","$3,523,701,953"
polygon-ecosystem-token,POL,"Jan 26, 2025",$0.4345,$0.4475,$0.433,$0.4345,"$139,008,051","$3,681,220,975"
polygon-ecosystem-token,POL,"Jan 25, 2025",$0.4325,$0.4385,$0.4288,$0.4345,"$121,886,126","$3,680,960,719"
polygon-ecosystem-token,POL,"Jan 24, 2025",$0.442,$0.449,$0.428,$0.4325,"$183,144,580","$3,664,188,489"
polygon-ecosystem-token,POL,"Jan 23, 2025",$0.4419,$0.4471,$0.4298,$0.442,"$200,823,239","$3,744,324,615"
polygon-ecosystem-token,POL,"Jan 22, 2025",$0.4526,$0.4552,$0.4404,$0.4419,"$141,434,026","$3,743,939,512"
polygon-ecosystem-token,POL,"Jan 21, 2025",$0.4418,$0.4639,$0.4291,$0.4526,"$207,951,339","$3,830,588,731"
polygon-ecosystem-token,POL,"Jan 20, 2025",$0.4439,$0.4844,$0.432,$0.4418,"$381,437,596","$3,739,303,802"
polygon-ecosystem-token,POL,"Jan 19, 2025",$0.4834,$0.494,$0.4381,$0.4439,"$321,955,586","$3,747,979,354"
polygon-ecosystem-token,POL,"Jan 18, 2025",$0.5079,$0.5128,$0.4697,$0.4834,"$231,404,580","$4,081,320,384"
polygon-ecosystem-token,POL,"Jan 17, 2025",$0.4739,$0.5165,$0.4737,$0.5079,"$212,801,111","$4,288,937,592"
