Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Arweave,AR,"Feb 18, 2025",$9.1991,$9.2461,$8.2315,$8.7530,"$51,519,906","$574,658,924"
Arweave,AR,"Feb 17, 2025",$9.2506,$9.6911,$8.9034,$9.1991,"$42,726,991","$603,945,039"
Arweave,AR,"Feb 16, 2025",$9.2131,$9.5743,$8.9776,$9.2506,"$26,693,717","$607,324,281"
Arweave,AR,"Feb 15, 2025",$9.4353,$9.7636,$9.0970,$9.2131,"$30,292,447","$604,860,099"
Arweave,AR,"Feb 14, 2025",$9.0550,$9.6381,$9.0109,$9.4353,"$38,974,086","$619,451,603"
Arweave,AR,"Feb 13, 2025",$9.6205,$9.6678,$8.7837,$9.0550,"$43,679,649","$594,481,282"
Arweave,AR,"Feb 12, 2025",$9.3553,$9.6791,$8.7479,$9.6205,"$61,671,653","$631,612,076"
Arweave,AR,"Feb 11, 2025",$8.9210,$9.6711,$8.8950,$9.3553,"$48,456,181","$614,198,410"
Arweave,AR,"Feb 10, 2025",$8.9492,$9.2856,$8.5587,$8.9210,"$41,541,300","$585,683,697"
Arweave,AR,"Feb 09, 2025",$9.9045,$9.9324,$8.4913,$8.9492,"$46,318,774","$587,538,875"
Arweave,AR,"Feb 08, 2025",$8.9552,$9.9600,$8.9259,$9.9045,"$37,121,348","$650,255,221"
Arweave,AR,"Feb 07, 2025",$9.5489,$10.12,$8.7648,$8.9552,"$60,020,379","$587,931,712"
Arweave,AR,"Feb 06, 2025",$10.19,$10.34,$9.4813,$9.5489,"$44,799,601","$626,911,917"
Arweave,AR,"Feb 05, 2025",$10.39,$11.04,$10.02,$10.19,"$54,700,904","$668,815,683"
Arweave,AR,"Feb 04, 2025",$11.73,$11.79,$9.9804,$10.39,"$81,268,110","$682,359,571"
Arweave,AR,"Feb 03, 2025",$12.48,$12.49,$9.0681,$11.73,"$180,765,318","$770,219,235"
Arweave,AR,"Feb 02, 2025",$13.93,$14.30,$12.09,$12.48,"$79,038,447","$819,588,484"
Arweave,AR,"Feb 01, 2025",$15.81,$16.09,$13.78,$13.93,"$45,434,922","$914,388,686"
Arweave,AR,"Jan 31, 2025",$16.22,$16.73,$15.50,$15.81,"$92,574,623","$1,037,762,406"
Arweave,AR,"Jan 30, 2025",$12.89,$16.46,$12.80,$16.22,"$69,052,157","$1,064,877,025"
Arweave,AR,"Jan 29, 2025",$12.68,$13.45,$12.55,$12.89,"$28,381,502","$846,130,812"
Arweave,AR,"Jan 28, 2025",$13.32,$13.65,$12.54,$12.68,"$27,286,263","$832,662,479"
Arweave,AR,"Jan 27, 2025",$14.12,$14.12,$12.38,$13.32,"$69,124,145","$874,648,093"
Arweave,AR,"Jan 26, 2025",$14.47,$14.81,$14.12,$14.12,"$23,576,013","$926,882,645"
Arweave,AR,"Jan 25, 2025",$14.31,$14.69,$14.03,$14.47,"$23,369,140","$949,905,835"
Arweave,AR,"Jan 24, 2025",$14.99,$15.24,$14.23,$14.31,"$26,565,520","$939,364,545"
Arweave,AR,"Jan 23, 2025",$15.18,$15.47,$14.52,$14.99,"$33,031,940","$984,210,792"
Arweave,AR,"Jan 22, 2025",$15.32,$15.74,$15.01,$15.18,"$30,757,578","$996,834,472"
Arweave,AR,"Jan 21, 2025",$14.70,$15.49,$13.96,$15.32,"$45,644,878","$1,005,985,121"
Arweave,AR,"Jan 20, 2025",$15.41,$16.93,$14.32,$14.70,"$94,161,169","$965,061,919"
Arweave,AR,"Jan 19, 2025",$16.48,$17.43,$15.22,$15.41,"$82,667,911","$1,011,846,443"
Arweave,AR,"Jan 18, 2025",$18.17,$18.26,$15.91,$16.48,"$56,407,888","$1,082,110,199"
Arweave,AR,"Jan 17, 2025",$17.10,$18.36,$17.08,$18.17,"$51,025,893","$1,192,730,791"
Arweave,AR,"Jan 16, 2025",$16.87,$17.87,$16.12,$17.10,"$59,297,975","$1,122,462,369"
Arweave,AR,"Jan 15, 2025",$15.77,$16.91,$15.17,$16.87,"$63,888,141","$1,107,564,245"
Arweave,AR,"Jan 14, 2025",$15.18,$15.88,$15.12,$15.77,"$40,334,453","$1,035,637,266"
Arweave,AR,"Jan 13, 2025",$15.55,$15.92,$14.02,$15.18,"$68,191,952","$996,348,831"
Arweave,AR,"Jan 12, 2025",$15.88,$15.93,$15.33,$15.55,"$47,046,344","$1,020,710,932"
Arweave,AR,"Jan 11, 2025",$16.06,$16.25,$15.63,$15.88,"$47,316,542","$1,042,288,452"
Arweave,AR,"Jan 10, 2025",$14.99,$16.33,$14.99,$16.06,"$90,748,821","$1,054,154,776"
Arweave,AR,"Jan 09, 2025",$15.94,$16.28,$14.77,$14.99,"$87,972,626","$984,171,152"
Arweave,AR,"Jan 08, 2025",$16.77,$17.05,$15.01,$15.94,"$97,668,659","$1,046,484,011"
Arweave,AR,"Jan 07, 2025",$18.94,$18.97,$16.77,$16.77,"$93,370,585","$1,101,077,322"
Arweave,AR,"Jan 06, 2025",$19.64,$19.87,$18.79,$18.94,"$86,658,651","$1,243,230,565"
Arweave,AR,"Jan 05, 2025",$19.49,$19.64,$18.78,$19.64,"$57,747,946","$1,289,237,339"
Arweave,AR,"Jan 04, 2025",$19.14,$19.78,$18.72,$19.49,"$78,050,818","$1,279,493,878"
Arweave,AR,"Jan 03, 2025",$17.65,$19.18,$17.19,$19.14,"$92,705,976","$1,256,818,467"
Arweave,AR,"Jan 02, 2025",$17.35,$17.99,$17.22,$17.65,"$78,023,991","$1,158,904,447"
Arweave,AR,"Jan 01, 2025",$16.00,$17.52,$16.00,$17.35,"$85,986,017","$1,138,971,026"
Arweave,AR,"Dec 31, 2024",$16.95,$16.95,$15.96,$16.00,"$71,468,313","$1,050,533,754"
Arweave,AR,"Dec 30, 2024",$16.17,$17.20,$15.65,$16.95,"$88,646,411","$1,112,780,219"
