Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Bitcoin SV,BSV,"Feb 18, 2025",$39.61,$39.84,$36.97,$37.41,"$55,849,900","$741,648,705"
Bitcoin SV,BSV,"Feb 17, 2025",$39.52,$40.43,$38.94,$39.61,"$52,390,736","$785,302,246"
Bitcoin SV,BSV,"Feb 16, 2025",$39.25,$40.33,$39.18,$39.52,"$45,169,994","$783,573,725"
Bitcoin SV,BSV,"Feb 15, 2025",$40.00,$40.10,$38.97,$39.25,"$46,013,402","$778,106,615"
Bitcoin SV,BSV,"Feb 14, 2025",$39.59,$40.98,$39.42,$40.00,"$53,512,098","$793,064,852"
Bitcoin SV,BSV,"Feb 13, 2025",$40.97,$41.02,$38.86,$39.59,"$50,759,683","$784,791,356"
Bitcoin SV,BSV,"Feb 12, 2025",$39.27,$41.18,$38.38,$40.97,"$54,927,835","$812,211,695"
Bitcoin SV,BSV,"Feb 11, 2025",$39.66,$41.10,$38.59,$39.27,"$42,562,127","$778,452,545"
Bitcoin SV,BSV,"Feb 10, 2025",$39.10,$39.79,$38.09,$39.66,"$47,418,470","$786,218,113"
Bitcoin SV,BSV,"Feb 09, 2025",$39.84,$40.23,$37.78,$39.10,"$43,696,189","$775,168,147"
Bitcoin SV,BSV,"Feb 08, 2025",$39.26,$39.94,$38.45,$39.84,"$44,632,844","$789,666,506"
Bitcoin SV,BSV,"Feb 07, 2025",$38.39,$40.78,$38.38,$39.26,"$53,089,717","$778,224,818"
Bitcoin SV,BSV,"Feb 06, 2025",$40.10,$41.00,$38.25,$38.39,"$46,731,534","$760,879,879"
Bitcoin SV,BSV,"Feb 05, 2025",$41.06,$41.78,$39.90,$40.10,"$48,406,026","$794,833,038"
Bitcoin SV,BSV,"Feb 04, 2025",$43.08,$43.58,$39.76,$41.06,"$60,197,474","$813,893,370"
Bitcoin SV,BSV,"Feb 03, 2025",$41.02,$43.54,$33.89,$43.08,"$114,015,486","$853,892,417"
Bitcoin SV,BSV,"Feb 02, 2025",$46.54,$47.38,$39.92,$41.02,"$65,926,102","$813,063,073"
Bitcoin SV,BSV,"Feb 01, 2025",$49.11,$49.83,$46.20,$46.54,"$46,723,066","$922,437,236"
