Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Curve DAO Token,CRV,"Feb 18, 2025",$0.5163,$0.5188,$0.4706,$0.494,"$128,469,937","$634,819,449"
Curve DAO Token,CRV,"Feb 17, 2025",$0.5097,$0.5443,$0.505,$0.5163,"$129,334,097","$663,240,814"
Curve DAO Token,CRV,"Feb 16, 2025",$0.5107,$0.5169,$0.4968,$0.5097,"$77,696,310","$654,632,913"
Curve DAO Token,CRV,"Feb 15, 2025",$0.5285,$0.5375,$0.5064,$0.5107,"$78,819,789","$655,576,718"
Curve DAO Token,CRV,"Feb 14, 2025",$0.5299,$0.5517,$0.5181,$0.5285,"$126,930,443","$678,182,860"
Curve DAO Token,CRV,"Feb 13, 2025",$0.555,$0.5647,$0.5047,$0.5299,"$143,871,396","$679,863,282"
Curve DAO Token,CRV,"Feb 12, 2025",$0.5319,$0.566,$0.4995,$0.555,"$182,193,035","$711,831,829"
Curve DAO Token,CRV,"Feb 11, 2025",$0.5333,$0.6005,$0.5275,$0.5319,"$183,248,064","$681,995,208"
Curve DAO Token,CRV,"Feb 10, 2025",$0.5271,$0.5679,$0.5021,$0.5332,"$162,136,651","$683,606,679"
Curve DAO Token,CRV,"Feb 09, 2025",$0.5113,$0.5301,$0.4938,$0.5271,"$125,748,493","$675,437,799"
Curve DAO Token,CRV,"Feb 08, 2025",$0.477,$0.5181,$0.4746,$0.5113,"$113,796,200","$654,926,539"
Curve DAO Token,CRV,"Feb 07, 2025",$0.4702,$0.5179,$0.4547,$0.477,"$173,310,589","$610,810,921"
Curve DAO Token,CRV,"Feb 06, 2025",$0.5139,$0.5298,$0.4674,$0.4702,"$143,799,328","$602,046,073"
Curve DAO Token,CRV,"Feb 05, 2025",$0.5253,$0.5409,$0.5097,$0.5139,"$161,866,306","$657,144,443"
Curve DAO Token,CRV,"Feb 04, 2025",$0.5783,$0.5799,$0.4995,$0.5253,"$251,280,157","$671,612,862"
Curve DAO Token,CRV,"Feb 03, 2025",$0.5556,$0.598,$0.4274,$0.5783,"$483,929,729","$739,096,199"
Curve DAO Token,CRV,"Feb 02, 2025",$0.6881,$0.7071,$0.5284,$0.5556,"$326,774,545","$709,978,367"
