Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Internet Computer,ICP,"Feb 17, 2025",$6.9966,$7.2368,$6.9083,$7.0536,"$69,015,126","$3,392,425,773"
Internet Computer,ICP,"Feb 16, 2025",$7.1042,$7.1276,$6.9099,$6.9960,"$78,749,416","$3,364,636,359"
Internet Computer,ICP,"Feb 15, 2025",$7.2475,$7.3072,$7.0307,$7.1043,"$63,148,732","$3,416,720,388"
Internet Computer,ICP,"Feb 14, 2025",$7.1303,$7.4059,$7.1094,$7.2474,"$84,993,218","$3,485,597,131"
Internet Computer,ICP,"Feb 13, 2025",$7.3965,$7.4057,$6.9915,$7.1303,"$107,237,334","$3,428,623,035"
Internet Computer,ICP,"Feb 12, 2025",$7.0911,$7.4701,$6.8910,$7.3965,"$119,593,595","$3,556,680,639"
Internet Computer,ICP,"Feb 11, 2025",$7.0064,$7.4232,$6.9362,$7.0912,"$100,666,255","$3,407,673,369"
Internet Computer,ICP,"Feb 10, 2025",$6.9639,$7.2067,$6.7310,$7.0064,"$88,810,064","$3,366,913,646"
Internet Computer,ICP,"Feb 09, 2025",$7.0181,$7.1257,$6.6278,$6.9639,"$72,603,842","$3,346,492,732"
Internet Computer,ICP,"Feb 08, 2025",$6.7869,$7.0522,$6.6424,$7.0181,"$70,276,659","$3,371,874,109"
Internet Computer,ICP,"Feb 07, 2025",$6.7133,$7.2346,$6.6555,$6.7869,"$88,535,688","$3,260,802,195"
Internet Computer,ICP,"Feb 06, 2025",$6.9927,$7.1817,$6.6639,$6.7133,"$89,063,522","$3,225,436,082"
Internet Computer,ICP,"Feb 05, 2025",$7.0434,$7.2227,$6.8584,$6.9926,"$102,051,221","$3,359,680,782"
Internet Computer,ICP,"Feb 04, 2025",$7.6429,$7.6991,$6.8115,$7.0434,"$152,987,377","$3,384,092,383"
Internet Computer,ICP,"Feb 03, 2025",$7.4860,$7.7242,$5.8565,$7.6429,"$307,104,846","$3,671,969,309"
Internet Computer,ICP,"Feb 02, 2025",$8.5105,$8.7202,$7.1871,$7.4859,"$186,682,211","$3,593,872,214"
Internet Computer,ICP,"Feb 01, 2025",$9.2797,$9.3919,$8.4142,$8.5105,"$102,437,927","$4,086,102,029"
Internet Computer,ICP,"Jan 31, 2025",$9.1370,$9.6819,$9.0190,$9.2798,"$125,965,090","$4,455,020,548"
Internet Computer,ICP,"Jan 30, 2025",$8.5728,$9.2413,$8.4879,$9.1370,"$99,377,945","$4,386,446,700"
Internet Computer,ICP,"Jan 29, 2025",$8.5539,$8.8511,$8.3299,$8.5723,"$96,832,267","$4,115,445,456"
Internet Computer,ICP,"Jan 28, 2025",$8.8893,$9.1122,$8.4518,$8.5539,"$104,366,086","$4,106,374,945"
Internet Computer,ICP,"Jan 27, 2025",$8.8256,$9.0226,$8.0954,$8.8889,"$194,586,864","$4,267,171,036"
Internet Computer,ICP,"Jan 26, 2025",$9.2035,$9.3142,$8.8256,$8.8256,"$106,109,645","$4,236,786,741"
Internet Computer,ICP,"Jan 25, 2025",$9.0383,$9.2825,$8.9286,$9.2032,"$126,256,523","$4,418,087,372"
Internet Computer,ICP,"Jan 24, 2025",$9.2349,$9.3944,$8.9393,$9.0385,"$198,224,078","$4,338,661,845"
Internet Computer,ICP,"Jan 23, 2025",$9.0932,$9.4352,$8.9847,$9.2351,"$184,375,086","$4,432,913,995"
Internet Computer,ICP,"Jan 22, 2025",$9.8636,$9.9448,$9.0294,$9.0933,"$206,508,170","$4,365,030,158"
Internet Computer,ICP,"Jan 21, 2025",$9.8001,$10.15,$9.3380,$9.8636,"$167,600,584","$4,734,890,654"
Internet Computer,ICP,"Jan 20, 2025",$9.8658,$10.71,$9.5118,$9.8002,"$269,184,740","$4,704,065,513"
Internet Computer,ICP,"Jan 19, 2025",$10.63,$10.93,$9.7507,$9.8660,"$272,587,269","$4,735,630,053"
Internet Computer,ICP,"Jan 18, 2025",$11.36,$11.47,$10.48,$10.63,"$183,922,742","$5,104,358,079"
Internet Computer,ICP,"Jan 17, 2025",$10.82,$11.45,$10.81,$11.36,"$168,561,384","$5,449,519,844"
Internet Computer,ICP,"Jan 16, 2025",$11.03,$11.21,$10.44,$10.82,"$174,303,514","$5,190,034,574"
Internet Computer,ICP,"Jan 15, 2025",$10.24,$11.05,$10.04,$11.03,"$174,020,803","$5,286,422,277"
Internet Computer,ICP,"Jan 14, 2025",$9.7852,$10.26,$9.7488,$10.24,"$113,787,768","$4,909,888,328"
Internet Computer,ICP,"Jan 13, 2025",$10.23,$10.52,$9.3278,$9.7852,"$174,814,238","$4,690,552,737"
Internet Computer,ICP,"Jan 12, 2025",$10.47,$10.54,$10.12,$10.23,"$131,063,285","$4,902,986,568"
Internet Computer,ICP,"Jan 11, 2025",$10.34,$10.66,$10.08,$10.47,"$140,134,935","$5,017,445,003"
Internet Computer,ICP,"Jan 10, 2025",$10.11,$10.83,$10.11,$10.34,"$189,969,482","$4,953,218,872"
Internet Computer,ICP,"Jan 09, 2025",$10.86,$10.98,$9.9852,$10.11,"$198,870,111","$4,845,868,581"
Internet Computer,ICP,"Jan 08, 2025",$11.03,$11.23,$10.38,$10.86,"$219,194,320","$5,199,103,317"
Internet Computer,ICP,"Jan 07, 2025",$12.18,$12.34,$11.02,$11.03,"$194,503,809","$5,278,651,684"
Internet Computer,ICP,"Jan 06, 2025",$12.12,$12.50,$11.83,$12.18,"$217,275,940","$5,828,975,801"
Internet Computer,ICP,"Jan 05, 2025",$12.30,$12.30,$11.88,$12.12,"$174,245,223","$5,799,302,768"
Internet Computer,ICP,"Jan 04, 2025",$12.37,$12.72,$12.14,$12.30,"$202,723,561","$5,888,487,836"
Internet Computer,ICP,"Jan 03, 2025",$10.67,$12.45,$10.65,$12.37,"$302,063,285","$5,920,409,451"
Internet Computer,ICP,"Jan 02, 2025",$10.49,$10.85,$10.48,$10.67,"$167,666,589","$5,108,216,513"
Internet Computer,ICP,"Jan 01, 2025",$9.8649,$10.65,$9.7222,$10.49,"$128,538,877","$5,015,624,511"
Internet Computer,ICP,"Dec 31, 2024",$10.03,$10.28,$9.7971,$9.8649,"$140,483,978","$4,717,026,339"
Internet Computer,ICP,"Dec 30, 2024",$10.14,$10.52,$9.7325,$10.03,"$167,360,478","$4,793,867,499"
Internet Computer,ICP,"Dec 29, 2024",$10.64,$10.66,$10.01,$10.14,"$126,801,166","$4,850,818,303"
Internet Computer,ICP,"Dec 28, 2024",$10.20,$10.78,$10.08,$10.64,"$118,092,945","$5,089,578,752"
Internet Computer,ICP,"Dec 27, 2024",$10.29,$10.78,$10.06,$10.20,"$179,484,523","$4,878,601,148"
Internet Computer,ICP,"Dec 26, 2024",$11.16,$11.26,$10.19,$10.29,"$191,985,615","$4,917,964,480"
Internet Computer,ICP,"Dec 25, 2024",$11.30,$11.62,$11.03,$11.16,"$179,918,537","$5,336,451,313"
Internet Computer,ICP,"Dec 24, 2024",$10.75,$11.35,$10.47,$11.30,"$203,498,829","$5,403,465,475"
Internet Computer,ICP,"Dec 23, 2024",$9.9079,$10.97,$9.6405,$10.75,"$212,626,112","$5,133,038,296"
Internet Computer,ICP,"Dec 22, 2024",$10.05,$10.30,$9.7305,$9.9094,"$184,692,617","$4,731,699,535"
Internet Computer,ICP,"Dec 21, 2024",$10.54,$11.35,$9.9306,$10.05,"$240,706,130","$4,799,514,312"
Internet Computer,ICP,"Dec 20, 2024",$10.16,$10.75,$8.8348,$10.54,"$344,606,541","$5,034,224,750"
Internet Computer,ICP,"Dec 19, 2024",$11.09,$11.35,$9.8884,$10.16,"$319,354,589","$4,848,841,845"
Internet Computer,ICP,"Dec 18, 2024",$12.06,$12.28,$11.08,$11.09,"$290,844,183","$5,293,809,145"
Internet Computer,ICP,"Dec 17, 2024",$12.69,$12.83,$11.99,$12.06,"$231,188,443","$5,757,137,811"
Internet Computer,ICP,"Dec 16, 2024",$13.17,$13.59,$12.44,$12.69,"$251,499,158","$6,039,525,251"
Internet Computer,ICP,"Dec 15, 2024",$12.87,$13.31,$12.53,$13.17,"$208,786,579","$6,268,557,309"
Internet Computer,ICP,"Dec 14, 2024",$13.47,$13.74,$12.54,$12.87,"$178,109,016","$6,122,461,658"
Internet Computer,ICP,"Dec 13, 2024",$13.66,$13.90,$13.20,$13.47,"$253,360,955","$6,411,104,193"
Internet Computer,ICP,"Dec 12, 2024",$13.17,$14.16,$12.99,$13.66,"$372,555,271","$6,497,375,606"
Internet Computer,ICP,"Dec 11, 2024",$11.81,$13.22,$11.39,$13.17,"$307,872,842","$6,262,542,253"
Internet Computer,ICP,"Dec 10, 2024",$11.98,$12.41,$10.88,$11.81,"$417,797,469","$5,614,449,363"
Internet Computer,ICP,"Dec 09, 2024",$14.61,$14.61,$10.93,$11.98,"$504,922,267","$5,696,808,256"
Internet Computer,ICP,"Dec 08, 2024",$14.85,$14.85,$14.14,$14.56,"$238,233,100","$6,922,576,256"
Internet Computer,ICP,"Dec 07, 2024",$15.27,$15.56,$14.54,$14.70,"$270,429,969","$6,988,222,037"
Internet Computer,ICP,"Dec 06, 2024",$14.28,$15.35,$14.19,$15.27,"$377,510,519","$7,259,775,009"
