Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
KuCoin Token,KCS,"Feb 17, 2025",$12.15,$12.23,$11.99,$12.05,"$4,653,698","$1,478,005,461"
KuCoin Token,KCS,"Feb 16, 2025",$12.20,$12.28,$12.08,$12.15,"$1,900,997","$1,489,383,200"
KuCoin Token,KCS,"Feb 15, 2025",$12.20,$12.32,$12.16,$12.20,"$1,984,928","$1,495,716,316"
KuCoin Token,KCS,"Feb 14, 2025",$12.15,$12.48,$12.11,$12.20,"$8,662,574","$1,496,243,423"
KuCoin Token,KCS,"Feb 13, 2025",$12.35,$12.39,$12.08,$12.15,"$1,570,379","$1,489,363,399"
KuCoin Token,KCS,"Feb 12, 2025",$12.15,$12.41,$12.05,$12.35,"$1,958,675","$1,513,793,010"
KuCoin Token,KCS,"Feb 11, 2025",$12.20,$12.40,$12.11,$12.15,"$950,281","$1,490,053,207"
KuCoin Token,KCS,"Feb 10, 2025",$12.13,$12.23,$12.02,$12.20,"$2,627,363","$1,495,200,837"
KuCoin Token,KCS,"Feb 09, 2025",$12.17,$12.23,$12.00,$12.13,"$1,420,246","$1,486,783,158"
KuCoin Token,KCS,"Feb 08, 2025",$12.30,$12.33,$12.09,$12.17,"$929,426","$1,491,557,750"
KuCoin Token,KCS,"Feb 07, 2025",$12.44,$12.64,$12.24,$12.30,"$1,672,203","$1,508,484,747"
KuCoin Token,KCS,"Feb 06, 2025",$12.82,$12.89,$12.41,$12.44,"$1,541,393","$1,525,160,797"
KuCoin Token,KCS,"Feb 05, 2025",$12.78,$12.88,$12.75,$12.82,"$944,069","$1,573,090,136"
KuCoin Token,KCS,"Feb 04, 2025",$12.89,$12.97,$12.65,$12.78,"$2,153,986","$1,567,641,092"
KuCoin Token,KCS,"Feb 03, 2025",$12.51,$12.90,$11.99,$12.89,"$6,129,428","$1,581,546,601"
KuCoin Token,KCS,"Feb 02, 2025",$13.55,$13.56,$12.49,$12.51,"$2,631,851","$1,533,985,502"
KuCoin Token,KCS,"Feb 01, 2025",$13.97,$14.20,$13.49,$13.55,"$1,774,139","$1,662,422,954"
KuCoin Token,KCS,"Jan 31, 2025",$14.11,$14.27,$13.79,$13.97,"$2,363,368","$1,713,311,170"
KuCoin Token,KCS,"Jan 30, 2025",$13.46,$14.25,$13.35,$14.11,"$3,455,539","$1,730,798,793"
KuCoin Token,KCS,"Jan 29, 2025",$13.48,$13.71,$13.34,$13.46,"$3,408,795","$1,651,125,319"
KuCoin Token,KCS,"Jan 28, 2025",$12.92,$14.59,$12.83,$13.48,"$8,730,093","$1,653,062,485"
KuCoin Token,KCS,"Jan 27, 2025",$13.16,$13.17,$12.21,$12.92,"$3,118,809","$1,584,471,287"
KuCoin Token,KCS,"Jan 26, 2025",$12.97,$13.46,$12.97,$13.16,"$1,591,086","$1,613,974,813"
KuCoin Token,KCS,"Jan 25, 2025",$13.10,$13.54,$12.95,$12.97,"$2,202,944","$1,590,577,202"
KuCoin Token,KCS,"Jan 24, 2025",$12.01,$13.95,$11.97,$13.10,"$9,344,200","$1,606,668,262"
KuCoin Token,KCS,"Jan 23, 2025",$11.22,$12.07,$11.21,$12.01,"$3,910,162","$1,472,967,445"
KuCoin Token,KCS,"Jan 22, 2025",$11.30,$11.51,$11.16,$11.21,"$1,628,471","$1,376,580,751"
KuCoin Token,KCS,"Jan 21, 2025",$11.11,$11.47,$11.00,$11.30,"$1,510,037","$1,386,548,108"
KuCoin Token,KCS,"Jan 20, 2025",$10.53,$11.62,$10.36,$11.11,"$4,467,764","$1,362,879,208"
KuCoin Token,KCS,"Jan 19, 2025",$10.81,$11.09,$10.49,$10.53,"$2,880,696","$1,291,967,793"
KuCoin Token,KCS,"Jan 18, 2025",$11.29,$11.33,$10.34,$10.81,"$3,315,892","$1,325,786,087"
KuCoin Token,KCS,"Jan 17, 2025",$11.11,$11.31,$11.08,$11.28,"$1,411,302","$1,384,679,013"
KuCoin Token,KCS,"Jan 16, 2025",$11.25,$11.27,$10.95,$11.11,"$1,382,718","$1,363,249,641"
KuCoin Token,KCS,"Jan 15, 2025",$10.66,$11.26,$10.61,$11.24,"$2,235,783","$1,379,420,786"
KuCoin Token,KCS,"Jan 14, 2025",$10.82,$11.00,$10.57,$10.66,"$1,928,455","$1,307,769,488"
KuCoin Token,KCS,"Jan 13, 2025",$11.36,$11.45,$10.49,$10.82,"$4,003,177","$1,327,051,682"
KuCoin Token,KCS,"Jan 12, 2025",$10.82,$11.53,$10.80,$11.36,"$2,121,354","$1,393,483,929"
KuCoin Token,KCS,"Jan 11, 2025",$10.71,$10.84,$10.63,$10.82,"$645,235","$1,326,854,132"
KuCoin Token,KCS,"Jan 10, 2025",$10.52,$10.72,$10.20,$10.71,"$1,799,897","$1,314,075,257"
KuCoin Token,KCS,"Jan 09, 2025",$10.35,$10.61,$10.29,$10.52,"$1,273,235","$1,290,460,699"
KuCoin Token,KCS,"Jan 08, 2025",$10.66,$10.76,$10.19,$10.35,"$1,739,365","$1,270,177,621"
KuCoin Token,KCS,"Jan 07, 2025",$11.19,$11.20,$10.56,$10.66,"$1,445,954","$1,308,158,651"
KuCoin Token,KCS,"Jan 06, 2025",$11.09,$11.20,$10.94,$11.19,"$1,435,231","$1,372,176,865"
KuCoin Token,KCS,"Jan 05, 2025",$10.83,$11.16,$10.82,$11.09,"$1,126,400","$1,360,330,536"
KuCoin Token,KCS,"Jan 04, 2025",$10.76,$10.92,$10.68,$10.83,"$1,184,817","$1,329,027,650"
KuCoin Token,KCS,"Jan 03, 2025",$10.74,$10.95,$10.63,$10.76,"$1,506,276","$1,319,395,222"
KuCoin Token,KCS,"Jan 02, 2025",$10.43,$10.93,$10.43,$10.74,"$1,344,530","$1,317,535,275"
KuCoin Token,KCS,"Jan 01, 2025",$10.53,$10.56,$10.38,$10.43,"$808,972","$1,278,854,194"
KuCoin Token,KCS,"Dec 31, 2024",$10.77,$10.83,$10.50,$10.53,"$1,272,693","$1,265,155,792"
KuCoin Token,KCS,"Dec 30, 2024",$11.17,$11.32,$10.69,$10.77,"$1,375,220","$1,295,029,876"
KuCoin Token,KCS,"Dec 29, 2024",$10.94,$11.41,$10.75,$11.17,"$2,213,173","$1,343,070,232"
KuCoin Token,KCS,"Dec 28, 2024",$10.76,$10.97,$10.58,$10.94,"$917,419","$1,315,632,719"
KuCoin Token,KCS,"Dec 27, 2024",$11.06,$11.08,$10.67,$10.76,"$1,901,557","$1,293,542,035"
KuCoin Token,KCS,"Dec 26, 2024",$11.16,$11.20,$10.91,$11.06,"$1,072,905","$1,329,861,941"
KuCoin Token,KCS,"Dec 25, 2024",$11.39,$11.42,$11.00,$11.16,"$1,449,196","$1,341,591,964"
KuCoin Token,KCS,"Dec 24, 2024",$11.47,$11.50,$11.06,$11.39,"$1,572,396","$1,369,888,758"
KuCoin Token,KCS,"Dec 23, 2024",$11.10,$11.49,$10.91,$11.47,"$1,304,946","$1,378,969,922"
KuCoin Token,KCS,"Dec 22, 2024",$11.12,$11.32,$10.99,$11.10,"$1,216,598","$1,333,994,185"
KuCoin Token,KCS,"Dec 21, 2024",$11.16,$11.48,$11.07,$11.12,"$1,561,172","$1,337,075,153"
KuCoin Token,KCS,"Dec 20, 2024",$11.08,$11.20,$10.20,$11.16,"$2,562,555","$1,341,394,125"
KuCoin Token,KCS,"Dec 19, 2024",$11.50,$11.70,$11.00,$11.08,"$2,253,647","$1,332,541,086"
KuCoin Token,KCS,"Dec 18, 2024",$12.20,$12.30,$11.48,$11.50,"$1,863,621","$1,382,259,238"
KuCoin Token,KCS,"Dec 17, 2024",$12.25,$12.43,$12.09,$12.20,"$1,764,510","$1,466,319,670"
KuCoin Token,KCS,"Dec 16, 2024",$12.97,$13.00,$11.51,$12.25,"$5,670,996","$1,472,476,360"
KuCoin Token,KCS,"Dec 15, 2024",$13.06,$13.24,$12.83,$12.97,"$1,778,965","$1,558,766,601"
KuCoin Token,KCS,"Dec 14, 2024",$13.50,$13.56,$13.04,$13.06,"$1,264,327","$1,570,266,030"
KuCoin Token,KCS,"Dec 13, 2024",$13.53,$13.57,$13.35,$13.50,"$1,089,417","$1,622,487,536"
KuCoin Token,KCS,"Dec 12, 2024",$13.13,$13.57,$13.02,$13.53,"$1,949,629","$1,626,822,575"
KuCoin Token,KCS,"Dec 11, 2024",$12.74,$13.26,$12.49,$13.13,"$1,807,069","$1,579,002,782"
KuCoin Token,KCS,"Dec 10, 2024",$12.76,$12.93,$12.28,$12.74,"$2,812,966","$1,531,957,075"
KuCoin Token,KCS,"Dec 09, 2024",$13.75,$13.76,$12.47,$12.76,"$3,117,890","$1,534,235,950"
KuCoin Token,KCS,"Dec 08, 2024",$13.69,$13.82,$13.51,$13.75,"$1,591,716","$1,653,364,359"
KuCoin Token,KCS,"Dec 07, 2024",$13.62,$13.73,$13.47,$13.70,"$1,390,624","$1,646,976,834"
KuCoin Token,KCS,"Dec 06, 2024",$13.17,$13.67,$13.06,$13.62,"$1,746,698","$1,637,535,052"
KuCoin Token,KCS,"Dec 05, 2024",$13.42,$13.51,$12.92,$13.23,"$2,644,623","$1,590,289,781"
KuCoin Token,KCS,"Dec 04, 2024",$12.58,$13.48,$12.56,$13.42,"$3,402,720","$1,613,024,998"
KuCoin Token,KCS,"Dec 03, 2024",$12.48,$12.72,$12.21,$12.58,"$3,140,780","$1,512,680,199"
KuCoin Token,KCS,"Dec 02, 2024",$12.57,$12.66,$12.12,$12.47,"$3,173,551","$1,499,914,713"
KuCoin Token,KCS,"Dec 01, 2024",$12.09,$12.63,$12.00,$12.57,"$2,225,186","$1,511,133,293"
KuCoin Token,KCS,"Nov 30, 2024",$11.84,$12.17,$11.83,$12.09,"$1,535,868","$1,453,630,040"
KuCoin Token,KCS,"Nov 29, 2024",$11.60,$11.87,$11.58,$11.84,"$1,104,303","$1,423,975,808"
KuCoin Token,KCS,"Nov 28, 2024",$11.76,$11.82,$11.57,$11.60,"$941,603","$1,394,476,215"
KuCoin Token,KCS,"Nov 27, 2024",$11.30,$11.79,$11.21,$11.76,"$1,448,101","$1,414,585,503"
KuCoin Token,KCS,"Nov 26, 2024",$11.39,$11.58,$11.09,$11.30,"$1,364,677","$1,359,118,186"
KuCoin Token,KCS,"Nov 25, 2024",$11.57,$11.80,$11.32,$11.39,"$1,880,360","$1,370,032,345"
KuCoin Token,KCS,"Nov 24, 2024",$11.70,$11.81,$11.16,$11.57,"$2,095,275","$1,391,187,917"
KuCoin Token,KCS,"Nov 23, 2024",$11.15,$11.79,$11.10,$11.70,"$3,112,629","$1,407,287,620"
KuCoin Token,KCS,"Nov 22, 2024",$11.07,$11.17,$10.94,$11.15,"$1,981,816","$1,340,283,177"
KuCoin Token,KCS,"Nov 21, 2024",$10.83,$11.17,$10.80,$11.07,"$1,707,536","$1,331,506,690"
KuCoin Token,KCS,"Nov 20, 2024",$10.85,$11.02,$10.71,$10.83,"$1,417,641","$1,302,300,824"
KuCoin Token,KCS,"Nov 19, 2024",$10.78,$10.93,$10.72,$10.85,"$1,522,210","$1,304,609,616"
KuCoin Token,KCS,"Nov 18, 2024",$10.81,$10.95,$10.45,$10.78,"$2,211,205","$1,296,306,271"
KuCoin Token,KCS,"Nov 17, 2024",$10.99,$11.06,$10.74,$10.81,"$1,317,289","$1,299,793,105"
KuCoin Token,KCS,"Nov 16, 2024",$10.82,$11.01,$10.78,$10.99,"$1,872,171","$1,321,420,733"
