Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Ronin,RON,"Feb 18, 2025",$1.2980,$1.3066,$1.1803,$1.2373,"$16,993,945","$766,400,748"
Ronin,RON,"Feb 17, 2025",$1.2737,$1.4044,$1.2729,$1.2983,"$37,448,332","$803,959,133"
Ronin,RON,"Feb 16, 2025",$1.2519,$1.2861,$1.2434,$1.2737,"$10,835,970","$788,918,134"
Ronin,RON,"Feb 15, 2025",$1.2635,$1.2753,$1.2383,$1.2519,"$14,009,042","$775,386,758"
Ronin,RON,"Feb 14, 2025",$1.2250,$1.2747,$1.2195,$1.2635,"$13,093,498","$782,626,375"
Ronin,RON,"Feb 13, 2025",$1.2532,$1.2669,$1.1887,$1.2250,"$25,505,902","$758,723,135"
Ronin,RON,"Feb 12, 2025",$1.1497,$1.2661,$1.1277,$1.2532,"$28,001,846","$776,236,174"
Ronin,RON,"Feb 11, 2025",$1.1537,$1.1999,$1.1318,$1.1497,"$15,920,831","$712,115,529"
Ronin,RON,"Feb 10, 2025",$1.0858,$1.1543,$1.0645,$1.1537,"$12,600,087","$714,587,348"
Ronin,RON,"Feb 09, 2025",$1.0975,$1.1130,$1.0457,$1.0858,"$8,737,192","$672,532,923"
Ronin,RON,"Feb 08, 2025",$1.0378,$1.1058,$1.0351,$1.0975,"$14,873,130","$679,755,956"
Ronin,RON,"Feb 07, 2025",$1.0294,$1.0881,$1.0195,$1.0378,"$16,334,857","$642,808,190"
Ronin,RON,"Feb 06, 2025",$1.0212,$1.0639,$1.0072,$1.0294,"$21,216,689","$637,600,229"
Ronin,RON,"Feb 05, 2025",$1.0338,$1.0494,$1.0028,$1.0213,"$21,108,305","$632,551,056"
Ronin,RON,"Feb 04, 2025",$1.1716,$1.1840,$1.0038,$1.0338,"$31,106,050","$640,309,286"
Ronin,RON,"Feb 03, 2025",$1.2106,$1.2123,$1.0070,$1.1716,"$69,981,660","$725,707,648"
Ronin,RON,"Feb 02, 2025",$1.3937,$1.3956,$1.1604,$1.2106,"$32,760,174","$749,823,256"
Ronin,RON,"Feb 01, 2025",$1.5048,$1.5196,$1.3899,$1.3937,"$19,060,979","$863,249,068"
Ronin,RON,"Jan 31, 2025",$1.5242,$1.5787,$1.5019,$1.5048,"$18,074,504","$932,043,547"
Ronin,RON,"Jan 30, 2025",$1.4626,$1.5434,$1.4552,$1.5242,"$20,755,959","$944,074,090"
Ronin,RON,"Jan 29, 2025",$1.4509,$1.4959,$1.4318,$1.4625,"$24,261,316","$905,870,350"
Ronin,RON,"Jan 28, 2025",$1.5217,$1.5424,$1.4434,$1.4509,"$20,416,796","$898,696,686"
Ronin,RON,"Jan 27, 2025",$1.5996,$1.6164,$1.4498,$1.5217,"$29,453,082","$597,500,969"
Ronin,RON,"Jan 26, 2025",$1.6140,$1.6428,$1.5996,$1.5996,"$16,722,460","$610,009,868"
Ronin,RON,"Jan 25, 2025",$1.6286,$1.6425,$1.6066,$1.6140,"$14,944,493","$615,324,209"
Ronin,RON,"Jan 24, 2025",$1.6772,$1.6948,$1.6242,$1.6286,"$19,635,487","$620,709,837"
Ronin,RON,"Jan 23, 2025",$1.6582,$1.6957,$1.6297,$1.6772,"$20,135,060","$639,012,957"
Ronin,RON,"Jan 22, 2025",$1.7541,$1.7718,$1.6509,$1.6580,"$19,355,507","$631,663,849"
Ronin,RON,"Jan 21, 2025",$1.6581,$1.7972,$1.6018,$1.7541,"$32,247,104","$667,982,309"
Ronin,RON,"Jan 20, 2025",$1.6548,$1.7519,$1.6142,$1.6582,"$29,431,987","$631,300,518"
Ronin,RON,"Jan 19, 2025",$1.7686,$1.7966,$1.6299,$1.6548,"$30,843,234","$629,816,471"
Ronin,RON,"Jan 18, 2025",$1.8245,$1.8485,$1.6944,$1.7686,"$20,513,563","$672,943,616"
Ronin,RON,"Jan 17, 2025",$1.8099,$1.8571,$1.7982,$1.8245,"$16,440,149","$694,025,265"
Ronin,RON,"Jan 16, 2025",$1.8716,$1.8734,$1.7989,$1.8098,"$17,883,927","$688,278,033"
Ronin,RON,"Jan 15, 2025",$1.8571,$1.9313,$1.8128,$1.8716,"$20,198,003","$711,550,761"
Ronin,RON,"Jan 14, 2025",$1.8060,$1.8792,$1.8016,$1.8571,"$10,464,651","$705,821,035"
Ronin,RON,"Jan 13, 2025",$1.8461,$1.8755,$1.6881,$1.8060,"$22,664,194","$686,229,143"
Ronin,RON,"Jan 12, 2025",$1.8686,$1.8938,$1.8349,$1.8461,"$7,513,095","$701,271,602"
Ronin,RON,"Jan 11, 2025",$1.8974,$1.8993,$1.8544,$1.8686,"$7,184,639","$709,609,730"
Ronin,RON,"Jan 10, 2025",$1.8246,$1.9088,$1.8246,$1.8974,"$15,970,025","$712,744,277"
Ronin,RON,"Jan 09, 2025",$1.8400,$1.8627,$1.7817,$1.8246,"$17,032,665","$685,212,369"
Ronin,RON,"Jan 08, 2025",$1.8584,$1.8741,$1.7605,$1.8400,"$20,144,019","$690,795,409"
Ronin,RON,"Jan 07, 2025",$2.0319,$2.0400,$1.8557,$1.8584,"$17,722,865","$697,556,620"
Ronin,RON,"Jan 06, 2025",$2.0151,$2.0701,$1.9829,$2.0318,"$14,831,454","$762,434,511"
Ronin,RON,"Jan 05, 2025",$2.0247,$2.0362,$1.9799,$2.0151,"$11,701,898","$755,899,039"
Ronin,RON,"Jan 04, 2025",$2.0191,$2.0398,$1.9892,$2.0247,"$13,055,414","$759,246,840"
Ronin,RON,"Jan 03, 2025",$1.9598,$2.0247,$1.9221,$2.0191,"$16,385,952","$756,855,888"
Ronin,RON,"Jan 02, 2025",$1.9039,$1.9778,$1.9037,$1.9598,"$18,485,947","$734,406,123"
Ronin,RON,"Jan 01, 2025",$1.9361,$1.9797,$1.9019,$1.9039,"$20,933,049","$713,247,852"
Ronin,RON,"Dec 31, 2024",$1.8635,$1.9495,$1.8384,$1.9360,"$44,700,630","$725,067,309"
