Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Toncoin,TON,"Feb 17, 2025",$3.7775,$3.8526,$3.7321,$3.7602,"$131,486,475","$9,379,834,247"
Toncoin,TON,"Feb 16, 2025",$3.7948,$3.8398,$3.7480,$3.7775,"$110,030,441","$9,422,725,361"
Toncoin,TON,"Feb 15, 2025",$3.8483,$3.8740,$3.7365,$3.7948,"$97,552,972","$9,465,531,216"
Toncoin,TON,"Feb 14, 2025",$3.7121,$3.8869,$3.7037,$3.8483,"$129,181,676","$9,595,248,112"
Toncoin,TON,"Feb 13, 2025",$3.8290,$3.8772,$3.6579,$3.7121,"$160,798,925","$9,258,666,758"
Toncoin,TON,"Feb 12, 2025",$3.7457,$3.8277,$3.6247,$3.8276,"$152,548,868","$9,546,408,480"
Toncoin,TON,"Feb 11, 2025",$3.8160,$3.9016,$3.6967,$3.7457,"$127,621,211","$9,341,889,380"
Toncoin,TON,"Feb 10, 2025",$3.8218,$3.8473,$3.7483,$3.8160,"$110,161,367","$9,516,934,865"
Toncoin,TON,"Feb 09, 2025",$3.7429,$3.9300,$3.7132,$3.8218,"$145,434,021","$9,531,136,369"
Toncoin,TON,"Feb 08, 2025",$3.7152,$3.8046,$3.6729,$3.7429,"$106,876,959","$9,334,090,429"
Toncoin,TON,"Feb 07, 2025",$3.7385,$3.8611,$3.6368,$3.7152,"$164,063,385","$9,264,635,438"
Toncoin,TON,"Feb 06, 2025",$3.7809,$3.9128,$3.7032,$3.7385,"$153,490,922","$9,322,551,421"
Toncoin,TON,"Feb 05, 2025",$3.7931,$3.8983,$3.7563,$3.7809,"$138,326,161","$9,428,007,003"
Toncoin,TON,"Feb 04, 2025",$4.0812,$4.1152,$3.6671,$3.7931,"$275,713,905","$9,456,172,691"
Toncoin,TON,"Feb 03, 2025",$4.0463,$4.1334,$3.1787,$4.0812,"$793,121,973","$10,174,071,303"
Toncoin,TON,"Feb 02, 2025",$4.6147,$4.6784,$3.9357,$4.0463,"$370,318,207","$10,067,279,550"
Toncoin,TON,"Feb 01, 2025",$4.8255,$4.9098,$4.5640,$4.6147,"$153,619,583","$11,489,487,918"
Toncoin,TON,"Jan 31, 2025",$4.8216,$4.9450,$4.7860,$4.8255,"$161,671,003","$12,013,849,282"
Toncoin,TON,"Jan 30, 2025",$4.8250,$4.9360,$4.7879,$4.8216,"$170,144,211","$12,003,766,751"
Toncoin,TON,"Jan 29, 2025",$4.7903,$4.8935,$4.7679,$4.8248,"$136,236,047","$12,011,959,573"
Toncoin,TON,"Jan 28, 2025",$5.0104,$5.0307,$4.7543,$4.7903,"$127,047,010","$11,925,229,452"
Toncoin,TON,"Jan 27, 2025",$4.9373,$5.0155,$4.6908,$5.0102,"$248,870,057","$12,472,154,542"
Toncoin,TON,"Jan 26, 2025",$5.0768,$5.1112,$4.9358,$4.9372,"$105,908,882","$12,290,022,051"
Toncoin,TON,"Jan 25, 2025",$5.0606,$5.1072,$5.0202,$5.0768,"$116,226,893","$12,635,160,193"
Toncoin,TON,"Jan 24, 2025",$5.1289,$5.1804,$5.0294,$5.0606,"$176,047,460","$12,594,435,661"
Toncoin,TON,"Jan 23, 2025",$5.2878,$5.3163,$5.0498,$5.1289,"$235,771,432","$12,763,658,617"
Toncoin,TON,"Jan 22, 2025",$5.1969,$5.3572,$5.1673,$5.2877,"$205,495,327","$13,159,030,740"
Toncoin,TON,"Jan 21, 2025",$5.0264,$5.2313,$4.9244,$5.1969,"$270,269,233","$12,932,613,056"
Toncoin,TON,"Jan 20, 2025",$4.8533,$5.2301,$4.7493,$5.0264,"$441,079,519","$12,494,280,221"
Toncoin,TON,"Jan 19, 2025",$5.2865,$5.3524,$4.8031,$4.8533,"$362,156,523","$12,063,647,721"
Toncoin,TON,"Jan 18, 2025",$5.5889,$5.6580,$5.1735,$5.2865,"$221,292,125","$13,139,943,238"
Toncoin,TON,"Jan 17, 2025",$5.4761,$5.6293,$5.4746,$5.5889,"$178,842,056","$13,891,139,885"
Toncoin,TON,"Jan 16, 2025",$5.5191,$5.5739,$5.4278,$5.4761,"$192,077,292","$13,610,110,174"
Toncoin,TON,"Jan 15, 2025",$5.3591,$5.5209,$5.3066,$5.5191,"$187,531,642","$13,716,424,690"
Toncoin,TON,"Jan 14, 2025",$5.2934,$5.4351,$5.2163,$5.3591,"$169,483,114","$13,613,234,226"
Toncoin,TON,"Jan 13, 2025",$5.3027,$5.3641,$4.9954,$5.2934,"$257,194,936","$13,445,983,498"
Toncoin,TON,"Jan 12, 2025",$5.3976,$5.4316,$5.2808,$5.3027,"$149,468,196","$13,469,033,104"
Toncoin,TON,"Jan 11, 2025",$5.3806,$5.4699,$5.3334,$5.3976,"$151,530,565","$13,709,774,976"
Toncoin,TON,"Jan 10, 2025",$5.1996,$5.3874,$5.1371,$5.3806,"$197,427,105","$13,666,055,406"
Toncoin,TON,"Jan 09, 2025",$5.3089,$5.3415,$5.1048,$5.1996,"$217,245,707","$13,205,873,040"
Toncoin,TON,"Jan 08, 2025",$5.3177,$5.3561,$5.1073,$5.3089,"$270,970,488","$13,483,051,922"
Toncoin,TON,"Jan 07, 2025",$5.7105,$5.7627,$5.3062,$5.3177,"$245,208,453","$13,504,987,798"
Toncoin,TON,"Jan 06, 2025",$5.7257,$5.7991,$5.6599,$5.7105,"$183,553,973","$14,502,266,509"
Toncoin,TON,"Jan 05, 2025",$5.7262,$5.7386,$5.6387,$5.7257,"$133,098,202","$14,540,287,921"
Toncoin,TON,"Jan 04, 2025",$5.7909,$5.8165,$5.6939,$5.7262,"$157,112,300","$14,541,177,266"
Toncoin,TON,"Jan 03, 2025",$5.6385,$5.8200,$5.5943,$5.7909,"$191,812,131","$14,704,954,047"
Toncoin,TON,"Jan 02, 2025",$5.5020,$5.6954,$5.4954,$5.6385,"$174,927,483","$14,317,423,074"
Toncoin,TON,"Jan 01, 2025",$5.4900,$5.5429,$5.3967,$5.5021,"$151,705,343","$13,970,379,583"
Toncoin,TON,"Dec 31, 2024",$5.5760,$5.6332,$5.4689,$5.4900,"$151,371,109","$13,939,466,150"
Toncoin,TON,"Dec 30, 2024",$5.6278,$5.6985,$5.4655,$5.5760,"$178,249,340","$14,232,999,232"
Toncoin,TON,"Dec 29, 2024",$5.7996,$5.8333,$5.5757,$5.6278,"$144,186,058","$14,364,993,582"
Toncoin,TON,"Dec 28, 2024",$5.7231,$5.8591,$5.6196,$5.7996,"$161,656,766","$14,803,249,698"
Toncoin,TON,"Dec 27, 2024",$5.7256,$5.8605,$5.6689,$5.7231,"$214,866,966","$14,608,246,105"
Toncoin,TON,"Dec 26, 2024",$5.9389,$5.9896,$5.6581,$5.7468,"$209,244,798","$14,667,250,338"
Toncoin,TON,"Dec 25, 2024",$5.7912,$6.0929,$5.7909,$5.9389,"$244,649,394","$15,156,578,075"
Toncoin,TON,"Dec 24, 2024",$5.5873,$5.8186,$5.5079,$5.7912,"$199,124,668","$14,779,130,156"
Toncoin,TON,"Dec 23, 2024",$5.3811,$5.6240,$5.3036,$5.5873,"$245,334,053","$14,258,282,376"
Toncoin,TON,"Dec 22, 2024",$5.3040,$5.4945,$5.2025,$5.3811,"$220,994,733","$13,731,654,214"
Toncoin,TON,"Dec 21, 2024",$5.4486,$5.6618,$5.2114,$5.3040,"$281,560,112","$13,534,550,254"
Toncoin,TON,"Dec 20, 2024",$5.2045,$5.4668,$4.8066,$5.4486,"$617,492,391","$13,903,092,518"
Toncoin,TON,"Dec 19, 2024",$5.4443,$5.4888,$5.0993,$5.2045,"$595,247,400","$13,279,082,654"
Toncoin,TON,"Dec 18, 2024",$5.8110,$5.8569,$5.3375,$5.4443,"$507,792,374","$13,890,585,671"
Toncoin,TON,"Dec 17, 2024",$6.0621,$6.1418,$5.7694,$5.8110,"$332,235,463","$14,825,697,935"
Toncoin,TON,"Dec 16, 2024",$6.3939,$6.4534,$5.9842,$6.0621,"$430,431,828","$15,466,031,566"
Toncoin,TON,"Dec 15, 2024",$6.2445,$6.4179,$6.1082,$6.3939,"$213,512,340","$16,311,883,752"
Toncoin,TON,"Dec 14, 2024",$6.3334,$6.3931,$6.0785,$6.2445,"$226,794,671","$15,930,343,017"
Toncoin,TON,"Dec 13, 2024",$6.3437,$6.4512,$6.2268,$6.2783,"$261,335,526","$16,016,001,425"
