Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
VeChain,VET,"Feb 17, 2025",$0.03311,$0.03442,$0.03236,$0.03288,"$45,938,622","$2,663,077,476"
VeChain,VET,"Feb 16, 2025",$0.03405,$0.03416,$0.03299,$0.03311,"$30,157,175","$2,681,044,732"
VeChain,VET,"Feb 15, 2025",$0.03528,$0.03577,$0.03378,$0.03405,"$31,673,652","$2,757,353,951"
VeChain,VET,"Feb 14, 2025",$0.03444,$0.03642,$0.03426,$0.03528,"$46,548,133","$2,856,946,866"
VeChain,VET,"Feb 13, 2025",$0.03548,$0.03589,$0.03376,$0.03444,"$50,911,263","$2,789,177,928"
VeChain,VET,"Feb 12, 2025",$0.03316,$0.03589,$0.03209,$0.03548,"$65,924,349","$2,873,629,710"
VeChain,VET,"Feb 11, 2025",$0.03364,$0.03567,$0.03282,$0.03316,"$56,880,195","$2,685,445,812"
VeChain,VET,"Feb 10, 2025",$0.03201,$0.03391,$0.03096,$0.03364,"$54,842,590","$2,723,971,870"
VeChain,VET,"Feb 09, 2025",$0.03302,$0.03378,$0.03062,$0.03201,"$53,479,316","$2,592,022,086"
VeChain,VET,"Feb 08, 2025",$0.03244,$0.03323,$0.03194,$0.03302,"$46,557,661","$2,674,311,412"
VeChain,VET,"Feb 07, 2025",$0.03251,$0.03532,$0.03166,$0.03244,"$66,214,487","$2,627,178,253"
VeChain,VET,"Feb 06, 2025",$0.03456,$0.03583,$0.03231,$0.03251,"$62,476,390","$2,632,841,918"
VeChain,VET,"Feb 05, 2025",$0.0361,$0.03645,$0.03422,$0.03456,"$67,412,357","$2,798,788,318"
VeChain,VET,"Feb 04, 2025",$0.03907,$0.03994,$0.03475,$0.0361,"$114,316,903","$2,923,359,709"
VeChain,VET,"Feb 03, 2025",$0.03764,$0.03963,$0.02875,$0.03907,"$279,549,135","$3,163,953,088"
VeChain,VET,"Feb 02, 2025",$0.04353,$0.04432,$0.03644,$0.03764,"$148,292,425","$3,048,561,133"
VeChain,VET,"Feb 01, 2025",$0.04663,$0.04834,$0.04322,$0.04353,"$97,455,562","$3,525,429,589"
VeChain,VET,"Jan 31, 2025",$0.04648,$0.04877,$0.04522,$0.04662,"$101,773,924","$3,776,094,332"
VeChain,VET,"Jan 30, 2025",$0.04325,$0.04803,$0.04298,$0.04648,"$90,359,605","$3,764,475,503"
VeChain,VET,"Jan 29, 2025",$0.04242,$0.04496,$0.04163,$0.04325,"$75,265,524","$3,502,678,224"
VeChain,VET,"Jan 28, 2025",$0.04465,$0.04569,$0.04194,$0.04242,"$70,322,303","$3,435,342,067"
VeChain,VET,"Jan 27, 2025",$0.04536,$0.04546,$0.04169,$0.04465,"$108,475,107","$3,615,755,697"
VeChain,VET,"Jan 26, 2025",$0.04756,$0.04848,$0.04536,$0.04536,"$73,188,466","$3,673,259,824"
VeChain,VET,"Jan 25, 2025",$0.04762,$0.04883,$0.0471,$0.04756,"$69,910,559","$3,851,374,344"
VeChain,VET,"Jan 24, 2025",$0.04895,$0.0499,$0.04672,$0.04762,"$85,501,837","$3,856,546,584"
